feature_id,facility_name_ar,facility_type,primary_candidate_image_id,manual_review_completed,visual_match_status,primary_suitability,reviewer_decision,shared_conflict_status,rights_status,institutional_approval_status,next_action
LY-HOT-000028,نالوت غدامس فندق باب العز,hotel,IMG-EEC9D5AE902233A5,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000029,فندق أبراج الوسطى,hotel,IMG-0F373BA333C2EBDE,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000031,فندق قصر الفيروز,hostel,IMG-4B53EBB6AABCC1D3,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000032,Royal Gardens Hotels,hostel,IMG-5BA106F592D0332E,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000034,فندق احواص,hostel,IMG-5ED99B628601EBD3,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000035,فندق الانوار,hotel,IMG-657CB03042B5C04B,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000036,فندق الأخوة,hotel,IMG-02413AAE55399FB1,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000037,فندق الأصالة,hotel,IMG-5806382F3E321975,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000038,فندق الأصيل,hotel,IMG-2BEC7C4B87BFEE2A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000039,فندق الأندلس,hotel,IMG-95E3447DAE58A495,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000040,فندق البركة,hotel,IMG-4C26C96431EC63BA,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000041,فندق البستان,hotel,IMG-A3FECBDF161B5CCE,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000042,التاج للشقق الفندقية,hotel,IMG-C6DFB6BFEF341C5D,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000045,فندق جوهرة صبراتة السياحي,hotel,IMG-2A5F837F7840D805,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000046,فندق الجوهرة الزاوية,hotel,IMG-2AE0615B4101D7F4,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000049,فندق الخان الطرابلسي,hotel,IMG-C7239FBDF94ED0B0,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000050,فندق الخليج,hostel,IMG-B51A8889CBB17DA7,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000051,فندق الدبلوماسي,hotel,IMG-9A077AB897E06613,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000053,فندق الديار,hotel,IMG-76FF508F0B7A8565,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000054,فندق الرابطة,hotel,IMG-5A8F81B9322E3F57,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000055,فندق الرفيع,hostel,IMG-C75C7E18E8905149,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000056,فندق الريان,hotel,IMG-67A5A64E322D0F37,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000057,فندق الزهر,hotel,IMG-B7DE3703E4372DC6,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000058,فندق الزيتونة,hostel,IMG-63F705E27DA71CF5,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000059,فندق السرايا,hotel,IMG-12604B3B51DF48AE,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000060,فندق زوارة,hostel,IMG-529535B1FF6858C1,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000061,فندق السندباد,hotel,IMG-1FEA6DD92699F439,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000062,فندق الشجرة,hostel,IMG-20030B09B95C21F0,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000064,فندق الشمس,hotel,IMG-301D258252D7F3D2,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000065,فندق الصفوة,hostel,IMG-FC2F7E0A509C8E80,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000066,فندق الصناعية مصراتة,hotel,IMG-07D179D8F1F3B4C8,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
