feature_id,layer_id,name_ar,candidate_images,manually_reviewed_images,verified_correct_images,public_rights_images,approved_primary_images,approved_gallery_images,rights_unknown_images,deferred_images,rejected_images,coverage_status
WH-LY-004-C0016,world-heritage,قوس تنخليقة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0017,world-heritage,القرية الجرمنتية تان افلا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0018,world-heritage,فندق المهاري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0019,world-heritage,منتجع وانتميضي البركت,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0020,world-heritage,المسجد الكبير,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0021,world-heritage,قلعة غات(كوكمن),0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0022,world-heritage,جبال أكاكوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0023,world-heritage,اغرم نظاريف,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0024,world-heritage,المدينة القديمة البركت ( اغرم ),0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0025,world-heritage,قلعة ''سردليس''العوينات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0026,world-heritage,وادي تشوينات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0027,world-heritage,Wadi Teshuinat,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0028,world-heritage,وادي تاكاركوري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0029,world-heritage,اوان اميل,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0030,world-heritage,اوان موهوجياج,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0031,world-heritage,منطقة الرسوم الصخرية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0032,world-heritage,منطقة الاقواس والتكوينات الصخرية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0033,world-heritage,جبال اكوكاس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0034,world-heritage,جبال تادرارت أكوكاس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0035,world-heritage,وادي آويس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0036,world-heritage,قوس تنسو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0037,world-heritage,وادي تاهرمت,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0038,world-heritage,تانسو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0039,world-heritage,وادي تنسو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0040,world-heritage,Kaf Ajnon كاف الجنون,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0041,world-heritage,وادي اغلاد,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0042,world-heritage,البئر الساخن,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0043,world-heritage,صخرة آضاد,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0044,world-heritage,تيرجيت,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0045,world-heritage,جبل تجيجيت,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0046,world-heritage,تيغجمين ان كيل تارات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0047,world-heritage,البيت الاجتماعي آدرار,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-004-C0048,world-heritage,تين زلغـــــــــــــــان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0001,world-heritage,بحيرة عين الذبان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0002,world-heritage,المسجد العتيق,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0003,world-heritage,جبل الصحابة أو رأس الغولة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0004,world-heritage,عين الفرس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0005,world-heritage,برج مراقبة قديم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0006,world-heritage,تمسمودسن,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0007,world-heritage,جامع يونس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0008,world-heritage,واحة تومس_غابات النخيل,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0009,world-heritage,مدرسة تيلوان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0010,world-heritage,مدينة غدامس القديمة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0011,world-heritage,متحف غدامس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0012,world-heritage,البيت التراثي- دان دون يونس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0013,world-heritage,مقهى توجدة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0014,world-heritage,القادوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0015,world-heritage,مسجد السنوسية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0016,world-heritage,عين تالة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0017,world-heritage,بيت الحبيب بن عز الدين للثقافة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0018,world-heritage,جامع عون الله,0,0,0,0,0,0,0,0,0,no_verified_images
