feature_id,layer_id,name_ar,name_en,city_ar,municipality_ar,heritage_status,unesco_component,geometry_type,publication_status,current_local_image_count,current_remote_image_count,current_primary_image,review_priority,notes
WH-TEAM-0032,world-heritage,متحف فسيفساء قصر ليبيا,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0033,world-heritage,زاوية العرقوب,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0034,world-heritage,قصر المقدم,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0035,world-heritage,كهف العودة,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0036,world-heritage,كهف الخزعلية,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0037,world-heritage,مسجد انس بن مالك - باندس,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0038,world-heritage,وادي ابطين الغزال,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0039,world-heritage,كاف طماش,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0040,world-heritage,كاف مسته,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0041,world-heritage,شط الرملة,Shatt Ar Ramlah,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0042,world-heritage,قرية التلال السياحية الحمامة,AlTelal Tourist Resort & Hotel,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0043,world-heritage,منتجع ومصيف الحمامة,Al Hamama Beach Resort,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0044,world-heritage,احواض السكميتو- القلعة الغارقة,Submerged Slipways و The Submerged Ancient Port,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0045,world-heritage,.برك نوطا,Birak Nuta Lakes,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0046,world-heritage,كهف هوا فطيح.,Cave.Hawa.Aftih,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0047,world-heritage,استراحات(امواج ),,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0048,world-heritage,وادي المهبول,Wadi Al-Mahbool,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0049,world-heritage,كهف الحمام,Al-Hamam Cave (أو Pigeon Cave),,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0050,world-heritage,مطار الأبرق الدولي,Al Abraq International Airport,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0051,world-heritage,استراحة محمد بو عبدالعالي,,,,,WH-LY-003,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0052,world-heritage,فندق نجوم غدامس,nojoom ghadames hotel,,,,WH-LY-005,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0053,world-heritage,فندق جوهرة الواحة غدامس,jewel of the oasis hotel ghadamas,,,,WH-LY-005,Point,published,0,0,,P2,Tracked GeoJSON feature.
WH-TEAM-0054,world-heritage,مسجد عقبة بن عمر,,,,,WH-LY-005,Point,published,0,0,,P2,Tracked GeoJSON feature.
LY-AKA-000001,akakus,قوس أفزجار,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000002,akakus,قوس أفزجارن وقوس تنخليفة,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000003,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000004,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000005,akakus,قوس صخري,,غات,,,,Point,,0,1,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000006,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000007,akakus,قوس أويص,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000008,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000009,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000010,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000011,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000012,akakus,قوس صخري 13,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000013,akakus,قوس تين لوبو,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000014,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000015,akakus,قوس صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000016,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000017,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000018,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000019,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000020,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000021,akakus,قوس صخري وأن أفودا,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000022,akakus,قوس صخري,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000023,akakus,وادي ماتخيندوش,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000024,akakus,تيهيدن,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000025,akakus,وادي رحملالين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000026,akakus,وادي سيندار,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000027,akakus,وادي تانشالت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000028,akakus,وادي تين قويما,,غات,,,,Point,,2,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000029,akakus,وادي أويس,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000030,akakus,وادي أفاغ,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000031,akakus,وادي تاشوينات,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000032,akakus,وادي آمها,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000033,akakus,وادي بوبو,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000034,akakus,وادي أمها,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000035,akakus,وادي أفازاجار,,غات,,,,Point,,2,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000036,akakus,وادي البركات,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000037,akakus,وادي أمركا,,غات,,,,Point,,2,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000038,akakus,وادي تلووات,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000039,akakus,وادي توجين,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000040,akakus,وادي ايكومسين,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000041,akakus,وادي تيتا,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000042,akakus,وادي أورزاق,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000043,akakus,وادي تخرخوري,,غات,,,,Point,,2,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000044,akakus,وادي ابهوها,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000045,akakus,تين أوينين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000046,akakus,وادي سوقد,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000047,akakus,وادي تسبا,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
