review_id,image_id,master_image_id,source_relative_path,feature_id,layer_id,feature_name_ar,visual_match_status,destination_identity_status,reviewer_decision,verified_role,technical_quality,duplicate_decision,rights_status,publication_permission,attribution_required,source_credit,rights_evidence,reviewer_name,review_date,decision_confidence,manual_review_completed,notes
B1-DEC-B1IMG-000035,IMG-7308AB91EC5133CA,IMG-7308AB91EC5133CA,assets/images/akakus/akakus-LY-AKAKUS-00019-01.png,LY-AKA-000019,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000036,IMG-E68C5524026BFC18,IMG-7308AB91EC5133CA,assets/images/akakus/akakus-LY-AKAKUS-00019-01.webp,LY-AKA-000019,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000037,IMG-83D131761F7EA25D,IMG-83D131761F7EA25D,assets/images/akakus/akakus-LY-AKAKUS-00020-01.png,LY-AKA-000020,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000038,IMG-3BFE174325C444CE,IMG-83D131761F7EA25D,assets/images/akakus/akakus-LY-AKAKUS-00020-01.webp,LY-AKA-000020,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000039,IMG-B45F567D113D9D86,IMG-B45F567D113D9D86,assets/images/akakus/akakus-LY-AKAKUS-00021-01.png,LY-AKA-000021,akakus,قوس صخري وأن أفودا,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000040,IMG-C8132570EE97B6C9,IMG-B45F567D113D9D86,assets/images/akakus/akakus-LY-AKAKUS-00021-01.webp,LY-AKA-000021,akakus,قوس صخري وأن أفودا,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000041,IMG-AC0D675910C9E48B,IMG-AC0D675910C9E48B,assets/images/akakus/akakus-LY-AKAKUS-00022-01.png,LY-AKA-000022,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000042,IMG-72DEF054B277BD9C,IMG-AC0D675910C9E48B,assets/images/akakus/akakus-LY-AKAKUS-00022-01.webp,LY-AKA-000022,akakus,قوس صخري,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000043,IMG-E18F2DAE0868EC75,IMG-E18F2DAE0868EC75,assets/images/akakus/akakus-LY-AKAKUS-00023-01.png,LY-AKA-000023,akakus,وادي ماتخيندوش,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000044,IMG-B7DBCB02F2C1F899,IMG-E18F2DAE0868EC75,assets/images/akakus/akakus-LY-AKAKUS-00023-01.webp,LY-AKA-000023,akakus,وادي ماتخيندوش,cannot_determine,cannot_determine,defer,,high,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
