publication_id,image_id,master_image_id,feature_id,layer_id,role,sequence,original_source_relative_path,web_large_path,web_medium_path,thumbnail_path,original_width,original_height,web_large_width,web_large_height,web_medium_width,web_medium_height,thumbnail_width,thumbnail_height,format,quality_setting,orientation_corrected,metadata_removed,original_preserved,rights_status,publication_permission,source_credit,attribution_required,notes
B1-PUB-B1IMG-000203,IMG-7B1A445EA919E31A,IMG-7B1A445EA919E31A,LY-TRI-000039,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00039-02.png,assets/media/LIBYA/old-cities/LY-TRI-000039/LY-TRI-000039__primary__01__445EA919E31A__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000039/LY-TRI-000039__primary__01__445EA919E31A__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000039/LY-TRI-000039__primary__01__445EA919E31A__thumbnail.webp,840,540,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000205,IMG-D88416AA6A16B6C4,IMG-D88416AA6A16B6C4,LY-TRI-000040,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00040-01.png,assets/media/LIBYA/old-cities/LY-TRI-000040/LY-TRI-000040__primary__01__16AA6A16B6C4__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000040/LY-TRI-000040__primary__01__16AA6A16B6C4__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000040/LY-TRI-000040__primary__01__16AA6A16B6C4__thumbnail.webp,1127,845,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000211,IMG-6FB7BFC4F9E0A52F,IMG-6FB7BFC4F9E0A52F,LY-TRI-000041,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00041-01.png,assets/media/LIBYA/old-cities/LY-TRI-000041/LY-TRI-000041__primary__01__BFC4F9E0A52F__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000041/LY-TRI-000041__primary__01__BFC4F9E0A52F__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000041/LY-TRI-000041__primary__01__BFC4F9E0A52F__thumbnail.webp,843,843,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000221,IMG-081738BE08D0A139,IMG-081738BE08D0A139,LY-TRI-000043,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00043-01.png,assets/media/LIBYA/old-cities/LY-TRI-000043/LY-TRI-000043__primary__01__38BE08D0A139__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000043/LY-TRI-000043__primary__01__38BE08D0A139__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000043/LY-TRI-000043__primary__01__38BE08D0A139__thumbnail.webp,720,960,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000227,IMG-0DE11A8830B0040A,IMG-0DE11A8830B0040A,LY-TRI-000044,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00044-01.png,assets/media/LIBYA/old-cities/LY-TRI-000044/LY-TRI-000044__primary__01__1A8830B0040A__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000044/LY-TRI-000044__primary__01__1A8830B0040A__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000044/LY-TRI-000044__primary__01__1A8830B0040A__thumbnail.webp,526,701,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000235,IMG-786748B0FB44719A,,LY-TRI-000045,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00045-01.png,assets/media/LIBYA/old-cities/LY-TRI-000045/LY-TRI-000045__primary__01__48B0FB44719A__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000045/LY-TRI-000045__primary__01__48B0FB44719A__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000045/LY-TRI-000045__primary__01__48B0FB44719A__thumbnail.webp,829,540,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000243,IMG-B889077CB62C8940,IMG-B889077CB62C8940,LY-TRI-000049,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00049-01.png,assets/media/LIBYA/old-cities/LY-TRI-000049/LY-TRI-000049__primary__01__077CB62C8940__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000049/LY-TRI-000049__primary__01__077CB62C8940__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000049/LY-TRI-000049__primary__01__077CB62C8940__thumbnail.webp,1560,1040,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000249,IMG-064B4A2A53EADC07,IMG-064B4A2A53EADC07,LY-TRI-000051,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00051-01.png,assets/media/LIBYA/old-cities/LY-TRI-000051/LY-TRI-000051__primary__01__4A2A53EADC07__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000051/LY-TRI-000051__primary__01__4A2A53EADC07__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000051/LY-TRI-000051__primary__01__4A2A53EADC07__thumbnail.webp,960,1280,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000251,IMG-19303339136B110F,IMG-19303339136B110F,LY-TRI-000052,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00052-01.png,assets/media/LIBYA/old-cities/LY-TRI-000052/LY-TRI-000052__primary__01__3339136B110F__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000052/LY-TRI-000052__primary__01__3339136B110F__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000052/LY-TRI-000052__primary__01__3339136B110F__thumbnail.webp,1362,2048,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000263,IMG-8AA3792D47A8700B,,LY-TRI-000054,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00054-01.png,assets/media/LIBYA/old-cities/LY-TRI-000054/LY-TRI-000054__primary__01__792D47A8700B__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000054/LY-TRI-000054__primary__01__792D47A8700B__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000054/LY-TRI-000054__primary__01__792D47A8700B__thumbnail.webp,2000,2000,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
