feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-TRI-000044,IMG-0DE11A8830B0040A,1,primary,IMG-0DE11A8830B0040A,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000045,IMG-786748B0FB44719A,1,primary,,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000049,IMG-B889077CB62C8940,1,primary,IMG-B889077CB62C8940,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000051,IMG-064B4A2A53EADC07,1,primary,IMG-064B4A2A53EADC07,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000052,IMG-19303339136B110F,1,primary,IMG-19303339136B110F,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000054,IMG-8AA3792D47A8700B,1,primary,,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000055,IMG-122EC6794AE5AD9B,1,primary,IMG-122EC6794AE5AD9B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000056,IMG-ECA0C97F0281CBCD,1,primary,IMG-ECA0C97F0281CBCD,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000058,IMG-F7AFA396298F215C,1,primary,IMG-F7AFA396298F215C,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000059,IMG-9C844F7D15BA1CA9,1,primary,IMG-9C844F7D15BA1CA9,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000061,IMG-40E860A9C361F231,1,primary,IMG-40E860A9C361F231,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000063,IMG-4E283F699F851D7B,1,primary,IMG-4E283F699F851D7B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000064,IMG-A344A7E577E96630,1,primary,IMG-A344A7E577E96630,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000069,IMG-3F21FA0C3434B21B,1,primary,IMG-3F21FA0C3434B21B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000071,IMG-464866CA94A2E016,1,primary,IMG-464866CA94A2E016,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000077,IMG-5D3E8C32DECB8309,1,primary,IMG-5D3E8C32DECB8309,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000079,IMG-B5026D10CF623027,1,primary,IMG-B5026D10CF623027,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000082,IMG-250D8FA287642F04,1,primary,IMG-250D8FA287642F04,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000084,IMG-E3D10855EA0BF5FC,1,primary,IMG-E3D10855EA0BF5FC,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000087,IMG-E07ADBE1ECA6364B,1,primary,IMG-E07ADBE1ECA6364B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000088,IMG-14F50A0DFB2B393D,1,primary,IMG-14F50A0DFB2B393D,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000090,IMG-EDB214ADFC5588F7,1,primary,IMG-EDB214ADFC5588F7,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000094,IMG-C653F4856C3D5A1E,1,primary,IMG-C653F4856C3D5A1E,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000096,IMG-D32E10A0FAEF78DA,1,primary,IMG-D32E10A0FAEF78DA,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000097,IMG-BE72CA288AC4FFD8,1,primary,IMG-BE72CA288AC4FFD8,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000098,IMG-B75EC215EEDFBBA4,1,primary,IMG-B75EC215EEDFBBA4,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000099,IMG-AE2F2C36A0837DE7,1,primary,IMG-AE2F2C36A0837DE7,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000100,IMG-420546FB58A56676,1,primary,IMG-420546FB58A56676,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
