feature_id,layer_id,feature_name_ar,primary_image_id,master_image_id,source_relative_path,visual_match_status,technical_quality,rights_status,publication_permission,selection_score,selection_reason,decision_status,manual_review_completed,reviewer_name,review_date,notes
WH-LY-002-C0040,world-heritage,المراحيض العامة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-002-C0041,world-heritage,اثار صبراته,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-002-C0042,world-heritage,مسرح صبراته الأثري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-002-C0043,world-heritage,الضريح البونيقي,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-002-C0044,world-heritage,,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-002-C0045,world-heritage,الامفيثياتر,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-002-C0046,world-heritage,مدينة أبروتون التاريخية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0001,world-heritage,مسرح شحات الاثري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0002,world-heritage,متحف المنحوتات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0003,world-heritage,الحمامات الاغريقية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0004,world-heritage,المجلس المحلي شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0005,world-heritage,آثار قورينا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0006,world-heritage,المسجد القديم,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0007,world-heritage,منتزة شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0008,world-heritage,كهف يقع جنوب شرق مدينة شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0009,world-heritage,مسرح3,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0010,world-heritage,سيزاريوم/ساحة بروكولوس المحيطة بالأروقة…,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0011,world-heritage,غابة شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0012,world-heritage,هوا القاطر,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0013,world-heritage,مسرح شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0014,world-heritage,مقابر منحوتة في الصخر,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0015,world-heritage,هوا احجري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0016,world-heritage,نبع أبولو,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0017,world-heritage,شلال شحات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0018,world-heritage,مدافن محفورة في الجبل,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0019,world-heritage,معبد الكابيتوليوم,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0020,world-heritage,اعمدة اثار شحات الخالدة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0021,world-heritage,معبد زيوس في قورينا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0022,world-heritage,السوق اليوناني القديم اغورا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0023,world-heritage,Byzantine basilica,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0024,world-heritage,شلال الدبوسية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0025,world-heritage,شلال رأس الهلال بافلو,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0026,world-heritage,شلال بالفو,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0027,world-heritage,Cyrene cemetery,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-003-C0028,world-heritage,بحيرة براك نوطا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0001,world-heritage,البركت غات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0002,world-heritage,مستشفى البركت,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0003,world-heritage,مسجد الصحابة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0004,world-heritage,منتزه تهالة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0005,world-heritage,منطقة تهالة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0006,world-heritage,المدينة القديمة غات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0007,world-heritage,مستشفى غات العام,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0008,world-heritage,معبر تخرخوري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0009,world-heritage,تهالة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0010,world-heritage,منتجع إين أزان,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0011,world-heritage,قرية إيسين,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
