link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,destination_identity_status,duplicate_group_id,master_image_id,rights_status,publication_permission,review_status,recommended_action,replacement_image_id,manual_review_completed,notes
B1CUR-00047,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-342EB5DEB4B9E970,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-017.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00924,IMG-342EB5DEB4B9E970,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00048,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-89026CB82167FEC9,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-018.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00108,IMG-89026CB82167FEC9,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00049,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-25FE3997B35164F5,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-019.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00141,IMG-25FE3997B35164F5,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00050,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-CE9DE34B394856C2,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-020.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00351,IMG-CE9DE34B394856C2,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00051,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-18D4E02BB5FB34AC,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-021.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00533,IMG-18D4E02BB5FB34AC,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00052,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-3D16B05BDBC1B66A,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-022.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00130,IMG-3D16B05BDBC1B66A,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00053,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-1FE0ECFF517687D8,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-023.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-01156,IMG-1FE0ECFF517687D8,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00054,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-14D05C672B535953,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-024.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00204,IMG-14D05C672B535953,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00055,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-C9D193F2B583E40F,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-025.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00121,IMG-C9D193F2B583E40F,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00056,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-52F0FA01105E904F,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-026.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00162,IMG-52F0FA01105E904F,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00057,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-52F0FA01105E904F,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-027.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00162,IMG-52F0FA01105E904F,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00058,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-EC977CC881363B23,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-028.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00059,IMG-EC977CC881363B23,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00059,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-9BE7B92905242AEB,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-029.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00776,IMG-9BE7B92905242AEB,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00060,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-6A770FED97FB7B2C,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-030.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00725,IMG-6A770FED97FB7B2C,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00061,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-6B42697D83FE65B8,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-031.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00291,IMG-6B42697D83FE65B8,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00062,WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,IMG-EB3970495DD0618E,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,gallery,true,high,cannot_determine,cannot_determine,DUP-00982,IMG-EB3970495DD0618E,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00063,WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,IMG-E40FC1FCCE86B63F,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-site-001.jpg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00089,IMG-E40FC1FCCE86B63F,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00064,WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,IMG-9B279CAB28E91261,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-site-002.jpg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00053,IMG-9B279CAB28E91261,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00065,WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,IMG-222DBF8022824242,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-site-old-001.jpg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00522,IMG-222DBF8022824242,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00066,WH-LY-001-0001,world-heritage,قوس سبتيموس سفيروس,IMG-02D99FA57565D0E7,docs/screenshots/leptis-popup-fix/WH-LY-001-0001.png,gallery,true,high,cannot_determine,cannot_determine,,,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00067,WH-LY-001-0002,world-heritage,المسرح الروماني الخمس _ ليبيا,IMG-6EC30511C574D4E7,docs/screenshots/leptis-popup-fix/WH-LY-001-0002.png,gallery,true,high,cannot_determine,cannot_determine,,,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00068,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-D4C2945E7E4C5A3B,docs/screenshots/leptis-popup-fix/WH-MAIN-001.png,gallery,true,high,cannot_determine,cannot_determine,,,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
