relationship_id,record_a_id,record_a_layer,record_a_name,record_b_id,record_b_layer,record_b_name,relationship_type,shared_image_allowed,primary_image_sharing_allowed,gallery_image_sharing_allowed,confidence,manual_review_required,notes
B1REL-00012,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0012,world-heritage,شرفة مبنى عام تطل على ميدان,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00013,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0013,world-heritage,شرفة خلفية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00014,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0014,world-heritage,نصب لميسر,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00015,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0015,world-heritage,المدرسة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00016,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0016,world-heritage,معبد دوكيومانوس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00017,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0017,world-heritage,معبد جوبيتير دوليكينوس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00018,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0018,world-heritage,الميناء,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00019,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0019,world-heritage,المعبد الفلافي,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00020,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0020,world-heritage,ساحة نيرون النيروتية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00021,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0021,world-heritage,مدخل الميناء في القرن الأول الميلادي,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00022,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0022,world-heritage,المنارة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00023,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0023,world-heritage,برج الاشارة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00024,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0024,world-heritage,معبد دوري,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00025,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0025,world-heritage,الحمامات الشرقية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00026,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0026,world-heritage,المسرح,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00027,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0027,world-heritage,ضريح قصر شداد,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00028,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0001,world-heritage,قوس سبتيموس سفيروس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00029,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0028,world-heritage,قوس الإمبراطور تراجان,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00030,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0029,world-heritage,ضريح زرجام,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00031,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0030,world-heritage,نيمافيوم,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00032,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0031,world-heritage,معبد جوبيتير,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00033,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0032,world-heritage,الجدار البيزنطي,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00034,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0033,world-heritage,ضريح الدويرات,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00035,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0034,world-heritage,متحف الفسيفساء,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00036,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0035,world-heritage,مقاهي واستراحة وموقف سيارات,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00037,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0036,world-heritage,مطعم الجرة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00038,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0037,world-heritage,ساحة الرياضة (بالسترا),parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00039,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0038,world-heritage,متحف الفسيفساء,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00040,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0039,world-heritage,معبد سيرابيس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00041,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0040,world-heritage,وادي لبدة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00042,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0041,world-heritage,مصيف الخمس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00043,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0042,world-heritage,متحف لبدة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
