image_id,source_relative_path,master_image_id,layer_id,feature_id,feature_name_ar,feature_name_en,linkage_basis,layer_assignment_status,feature_linkage_status,primary_image,gallery_image,institutional_display_authorization,rights_status,derivative_status,runtime_status,notes
IMG-F93D9581C344DD39,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-006.jpg,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-EB6C2987375DCA44,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-007.JPG,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-10ADE31205F7F18C,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-008.JPG,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-E6BFD6C17C1E3F5F,assets/media/LIBYA/Sabratha/published/punic-mausoleum/sabratha-punic-mausoleum-001.jpg,,world-heritage,WH-LY-002-C0043,الضريح البونيقي,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-EC00FAF5599767ED,assets/media/LIBYA/Sabratha/published/punic-mausoleum/sabratha-punic-mausoleum-002.jpg,,world-heritage,WH-LY-002-C0043,الضريح البونيقي,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F48CDFD3EDFB6455,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-001.JPG,,world-heritage,WH-LY-002-C0045,الامفيثياتر,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F14C070892E7FE20,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-002.JPG,,world-heritage,WH-LY-002-C0045,الامفيثياتر,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-228E731F81DC9D95,assets/media/LIBYA/heritage/cyrene/published/features/archaeological-theatre/archaeological-theatre-001.jpg,,world-heritage,WH-LY-003-C0001,مسرح شحات الاثري,Archaeological Theater of cyrene,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F7E4AFF73A6B754F,assets/media/LIBYA/heritage/cyrene/published/features/archaeological-theatre/archaeological-theatre-002.jpg,,world-heritage,WH-LY-003-C0001,مسرح شحات الاثري,Archaeological Theater of cyrene,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-16EE001639D74775,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG,,world-heritage,WH-LY-003-C0005,آثار قورينا,The Ruins of Cyrene,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-EC53980D61F3582E,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,,world-heritage,WH-LY-003-C0005,آثار قورينا,The Ruins of Cyrene,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
