change_id,layer_id,feature_id,change_type,field_name,old_value,new_value,reason,source_case_id,confidence,timestamp,reversible,notes
CHG-000078,investment,LY-INV-HOT-NAT-00067,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00187""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000079,investment,LY-INV-HOT-NAT-00068,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00189""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000080,investment,LY-INV-HOT-ZUW-00003,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-ZUW-00004""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000081,investment,LY-INV-HOT-NAT-00069,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00191""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000082,investment,LY-INV-HOT-NAT-00071,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00192""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000083,investment,LY-INV-HOT-NAT-00073,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00193""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000084,investment,LY-INV-HOT-NAT-00074,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00194""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000085,investment,LY-INV-HOT-NAT-00075,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00195""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000086,investment,LY-INV-HOT-NAT-00076,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00196""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000087,investment,LY-INV-HOT-NAT-00080,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00198""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000088,investment,LY-INV-HOT-NAT-00081,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00199""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000089,investment,LY-INV-HOT-NAT-00082,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00202""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000090,investment,LY-INV-HOT-NAT-00083,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00203""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000091,investment,LY-INV-HOT-NAT-00084,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00205""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000092,investment,LY-INV-HOT-SAB-00003,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-SAB-00004""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000093,investment,LY-INV-HOT-NAT-00085,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00211""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000094,investment,LY-INV-HOT-NAT-00086,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00212""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000095,investment,LY-INV-HOT-NAT-00087,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00213""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000096,investment,LY-INV-HOT-NAT-00088,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00214""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000097,investment,LY-INV-HOT-GHA-00007,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-GHA-00008""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000098,investment,LY-INV-HOT-NAT-00090,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00217""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000099,investment,LY-INV-HOT-NAT-00092,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00218""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000100,investment,LY-INV-HOT-NAT-00093,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00219""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000101,investment,LY-INV-HOT-TRI-00021,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-TRI-00024""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000102,investment,LY-INV-REV-TRI-00001,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-REV-TRI-00002""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
