candidate_id,image_id,master_image_id,source_relative_path,feature_id,layer_id,feature_name_ar,facility_type,candidate_match_type,candidate_match_score,existing_link,exact_feature_id_match,exact_name_match,folder_match,city_match,gps_match,coordinate_distance_meters,technical_quality,duplicate_group_id,rights_status,manual_review_required,target_group,notes
B2-CAN-00391,IMG-41E178BC9D46CD3D,IMG-6F7C593B310C2037,assets/images/hotels/hotels-LY-HOTELS-00137-09.webp,LY-HOT-000137,hotels,فندق الخان الطرابلسي,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01167,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00392,IMG-29F498B195A17DAE,IMG-D8DD811770FB6083,assets/images/hotels/hotels-LY-HOTELS-00138-01.webp,LY-HOT-000138,hotels,فندق الرحاب,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00619,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00393,IMG-FCBB4EA355E6C846,IMG-D18FCFA2F4523A35,assets/images/hotels/hotels-LY-HOTELS-00138-02.webp,LY-HOT-000138,hotels,فندق الرحاب,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00153,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00394,IMG-C04C7358AE4C64F2,IMG-F95797DD27AB0604,assets/images/hotels/hotels-LY-HOTELS-00143-01.webp,LY-HOT-000143,hotels,فندق ابن الرومي,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00247,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00395,IMG-4F1BF241FA1C1032,IMG-341A618CE06A6ADF,assets/images/hotels/hotels-LY-HOTELS-00145-01.webp,LY-HOT-000145,hotels,فندق الحياة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00343,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00396,IMG-DA5EF619726E796F,IMG-47C82DD83963F99C,assets/images/hotels/hotels-LY-HOTELS-00145-02.webp,LY-HOT-000145,hotels,فندق الحياة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00810,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00397,IMG-DDEA8E82387C5088,IMG-EAD9064DC584647D,assets/images/hotels/hotels-LY-HOTELS-00145-03.webp,LY-HOT-000145,hotels,فندق الحياة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00890,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00398,IMG-A5568EA985342377,IMG-6E9CA6C198039200,assets/images/hotels/hotels-LY-HOTELS-00145-04.webp,LY-HOT-000145,hotels,فندق الحياة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00741,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00399,IMG-1DE3AE7BE7869817,IMG-E6C31C8B11011BF1,assets/images/hotels/hotels-LY-HOTELS-00145-05.webp,LY-HOT-000145,hotels,فندق الحياة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00721,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00400,IMG-1E9790A7A8F159ED,IMG-6CBB24820D65DE0B,assets/images/hotels/hotels-LY-HOTELS-00148-01.webp,LY-HOT-000148,hotels,فندق العوينات,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00047,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00401,IMG-03C03752D4FFB0D9,,assets/images/hotels/hotels-LY-HOTELS-00150-01.webp,LY-HOT-000150,hotels,فندق الفضيل,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00402,IMG-AFE2B75E516E14A4,IMG-62731B0714048E57,assets/images/hotels/hotels-LY-HOTELS-00150-02.webp,LY-HOT-000150,hotels,فندق الفضيل,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00660,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00403,IMG-4464C6FEF6AF4481,IMG-980E96973483A419,assets/images/hotels/hotels-LY-HOTELS-00150-03.webp,LY-HOT-000150,hotels,فندق الفضيل,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00637,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00404,IMG-9BC9C37BC30E0FDF,IMG-1A5B688FB011FAE4,assets/images/hotels/hotels-LY-HOTELS-00150-04.webp,LY-HOT-000150,hotels,فندق الفضيل,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01016,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00405,IMG-60B50F1E54CB05EE,IMG-C3D5FEC3278B44D1,assets/images/hotels/hotels-LY-HOTELS-00150-05.webp,LY-HOT-000150,hotels,فندق الفضيل,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00158,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00406,IMG-7408B0FEE6E15B14,IMG-37F5CC01C65299DE,assets/images/hotels/hotels-LY-HOTELS-00151-01.webp,LY-HOT-000151,hotels,فندق الفضيل رأس لانوف,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00319,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00407,IMG-818C435BB3C41068,IMG-AF7BFEC67D6E2BEC,assets/images/hotels/hotels-LY-HOTELS-00151-02.webp,LY-HOT-000151,hotels,فندق الفضيل رأس لانوف,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00601,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00408,IMG-E3245A512704B018,IMG-BCB7E1B223D8203A,assets/images/hotels/hotels-LY-HOTELS-00152-01.webp,LY-HOT-000152,hotels,فندق الفلك,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01182,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00409,IMG-DB3CB5DA660FCDF6,IMG-DA73381C48679FF7,assets/images/hotels/hotels-LY-HOTELS-00152-02.webp,LY-HOT-000152,hotels,فندق الفلك,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00149,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00410,IMG-126C06C2F26FFDBE,IMG-A49FFF71EA2FA0E7,assets/images/hotels/hotels-LY-HOTELS-00152-03.webp,LY-HOT-000152,hotels,فندق الفلك,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00220,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00411,IMG-4DE50FE5C77F11DC,,assets/images/hotels/hotels-LY-HOTELS-00154-01.webp,LY-HOT-000154,hotels,فندق القلعة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00412,IMG-C1A63B7C18A696CC,IMG-F5A37F569C93E905,assets/images/hotels/hotels-LY-HOTELS-00155-01.webp,LY-HOT-000155,hotels,فندق الكاظم,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01395,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00413,IMG-65010E3F7285D3C4,IMG-5A83A2F605CCF1EE,assets/images/hotels/hotels-LY-HOTELS-00157-01.webp,LY-HOT-000157,hotels,فندق المبروك,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00018,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00414,IMG-18E149F54D0D8C2B,IMG-CBF943AD2BA1F338,assets/images/hotels/hotels-LY-HOTELS-00157-02.webp,LY-HOT-000157,hotels,فندق المبروك,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00383,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00415,IMG-1C5220AAA4070B85,IMG-C729BBBD991A91DB,assets/images/hotels/hotels-LY-HOTELS-00157-03.webp,LY-HOT-000157,hotels,فندق المبروك,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00707,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00416,IMG-4F0A3CE02FA1B883,IMG-5BE42BF01EA16B89,assets/images/hotels/hotels-LY-HOTELS-00075-01.webp,LY-HOT-000158,hotels,فندق المتوسط الخمس,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-01392,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00417,IMG-D9EDD81AAF8CF93F,IMG-06C9B682D26BC85A,assets/images/hotels/hotels-LY-HOTELS-00075-03.webp,LY-HOT-000158,hotels,فندق المتوسط الخمس,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00384,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00418,IMG-EA0D93EB480687A0,IMG-5A6315C65F17467F,assets/images/hotels/hotels-LY-HOTELS-00075-05.webp,LY-HOT-000158,hotels,فندق المتوسط الخمس,hostel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00001,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00419,IMG-4ECEDB1678C21ED6,IMG-C528015251C45B51,assets/images/hotels/hotels-LY-HOTELS-00160-01.webp,LY-HOT-000160,hotels,فندق المدينة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00794,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00420,IMG-24ABC32DBA91BFCD,IMG-1861B5607D136044,assets/images/hotels/hotels-LY-HOTELS-00160-02.webp,LY-HOT-000160,hotels,فندق المدينة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00213,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
B2-CAN-00421,IMG-3177E8C15F91D0D1,IMG-49B5D21B337ECF77,assets/images/hotels/hotels-LY-HOTELS-00160-03.webp,LY-HOT-000160,hotels,فندق المدينة,hotel,existing_link,1.0,true,true,false,false,false,false,,thumbnail_only,DUP-00382,unknown,true,Hotels,"Existing local linkage; technical evidence only, not visual verification."
