feature_id,name_ar,facility_type,city_ar,candidate_images,current_images,master_candidates,high_quality_candidates,acceptable_candidates,ambiguous_candidates,rights_known,rights_unknown,primary_candidate,gallery_candidates,manual_review_required,coverage_status
LY-HOT-000044,فندق الجبل,hotel,مصراتة,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000045,فندق جوهرة صبراتة السياحي,hotel,يقع الفندق في وسط مدينة صبراتة، وتحديداً في شارع عمر المختار,2,2,1,0,0,0,0,2,IMG-2A5F837F7840D805,2,true,strong_candidate_coverage
LY-HOT-000046,فندق الجوهرة الزاوية,hotel,يقع الفندق في قلب مدينة الزاوية بميدان الشهداء,1,1,1,0,0,0,0,1,IMG-2AE0615B4101D7F4,1,true,strong_candidate_coverage
LY-HOT-000047,يعرف باسم (فندق الوادي ) فندق الحديقة,hotel,شارع الوادي، بالقرب من وسط البلاد وجزيرة الجرات، طرابلس، ليبيا,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000048,فندق الحمام السياحي,hotel,لا يعمل حالياً كفندق أو شقق إقامة متاحة للمواطنين,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000049,فندق الخان الطرابلسي,hotel,يقع في شارع أربعة عرصات بالمدينة القديمة,5,5,5,0,0,0,0,5,IMG-C7239FBDF94ED0B0,5,true,strong_candidate_coverage
LY-HOT-000050,فندق الخليج,hostel,يقع في شارع جمال عبد الناصر، بالقرب من قلب العاصمة طرابلس,3,3,3,0,0,0,0,3,IMG-B51A8889CBB17DA7,3,true,strong_candidate_coverage
LY-HOT-000051,فندق الدبلوماسي,hotel,شارع شوقي، طرابلس,2,2,2,0,0,0,0,2,IMG-9A077AB897E06613,2,true,strong_candidate_coverage
LY-HOT-000052,فندق الدوحة,hotel,يقع الفندق في وسط المدينة، تحديداً في شارع عمر المختار مقابل شارع العملة,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000053,فندق الديار,hotel,يقع الفندق في شارع جمال (شارع المفاتيح) وسط المدينة,3,3,3,0,0,0,0,3,IMG-76FF508F0B7A8565,3,true,strong_candidate_coverage
LY-HOT-000054,فندق الرابطة,hotel,يتوسط الفندق مدينة غريان ويقع تحديداً في منطقة تغسات,4,4,4,0,0,0,0,4,IMG-5A8F81B9322E3F57,4,true,strong_candidate_coverage
LY-HOT-000055,فندق الرفيع,hostel,شارع الرشيد، خلف محكمة شمال طرابلس، طرابلس، ليبيا,1,1,1,0,0,0,0,1,IMG-C75C7E18E8905149,1,true,strong_candidate_coverage
LY-HOT-000056,فندق الريان,hotel,"طرابلس Omer almokhtar, Omer almokhtar، طرابلس",6,6,6,0,0,0,0,6,IMG-67A5A64E322D0F37,6,true,strong_candidate_coverage
LY-HOT-000057,فندق الزهر,hotel,يقع الفندق في سوق الترك، المدينة القديمة، طرابلس,5,5,5,0,0,0,0,5,IMG-B7DE3703E4372DC6,5,true,strong_candidate_coverage
LY-HOT-000058,فندق الزيتونة,hostel,مدينة بني وليد بليبيا,4,4,4,3,1,0,0,4,IMG-63F705E27DA71CF5,4,true,strong_candidate_coverage
LY-HOT-000059,فندق السرايا,hotel,يقع الفندق في شارع عمر المختار، مباشرةً أمام معرض طرابلس الدولي,4,4,4,0,0,0,0,4,IMG-12604B3B51DF48AE,4,true,strong_candidate_coverage
LY-HOT-000060,فندق زوارة,hostel,مدينة زوارة مقابل المدينة الرياضية,3,3,3,0,0,0,0,3,IMG-529535B1FF6858C1,3,true,strong_candidate_coverage
LY-HOT-000061,فندق السندباد,hotel,طرابلس، شارع عمر المختار، مقابل مصيف الليدو (السندباد سابقاً).طرابلس,1,1,1,0,0,0,0,1,IMG-1FEA6DD92699F439,1,true,strong_candidate_coverage
LY-HOT-000062,فندق الشجرة,hostel,شارع سيدي عيسى، منطقة الظهرة، طرابلس، ليبيا,2,2,2,0,0,0,0,2,IMG-20030B09B95C21F0,2,true,strong_candidate_coverage
LY-HOT-000063,فندق الشرق,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000064,فندق الشمس,hotel,شارع يعقوب بن إسحاق الكندي، طرابلس,4,4,4,0,0,0,0,4,IMG-301D258252D7F3D2,4,true,strong_candidate_coverage
LY-HOT-000065,فندق الصفوة,hostel,شارع البلدية طرابلس,4,4,4,0,0,0,0,4,IMG-FC2F7E0A509C8E80,4,true,strong_candidate_coverage
LY-HOT-000066,فندق الصناعية مصراتة,hotel,,5,5,5,0,0,0,0,5,IMG-07D179D8F1F3B4C8,5,true,strong_candidate_coverage
LY-HOT-000067,فندق الصولجان,hotel,شارع عمر المختار، طرابلسطرابلس,2,2,2,0,0,0,0,2,IMG-506CFAE19599447E,2,true,strong_candidate_coverage
LY-HOT-000068,فندق العاصمة,hotel,"شارع الرصافى, V5QF+RMV متفرع من عمر المختار الرئيسى, 50 متر،, طرابلس",3,3,3,0,0,0,0,3,IMG-2754AC0FDB2BC23D,3,true,strong_candidate_coverage
LY-HOT-000069,فندق الغدامسية,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000070,فندق القرقني,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000071,فندق القوس,hotel,,5,5,5,0,0,0,0,5,IMG-8F2297D7FBB16C96,5,true,strong_candidate_coverage
LY-HOT-000072,فندق الكبير,hotel,,5,5,5,0,0,0,0,5,IMG-0FA01A3B05B019A0,5,true,strong_candidate_coverage
LY-HOT-000073,فندق الكرومة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000074,فندق الماسة,hotel,,5,5,5,0,0,0,0,5,IMG-5F1F8C35419379DF,5,true,strong_candidate_coverage
LY-HOT-000075,فندق المتوسط,hotel,شارع 17 فبراير، بجوار الجامع الجديد، وسط مدينة الخمس، ليبيا,5,5,5,0,0,0,0,5,IMG-4F0A3CE02FA1B883,5,true,strong_candidate_coverage
