link_id,feature_id,layer_id,feature_name_ar,facility_type,image_id,source_relative_path,current_role,file_exists,image_readable,technical_quality,master_image_id,duplicate_group_id,match_basis,visual_review_status,rights_status,recommended_action,manual_review_required,notes
B2-LINK-00057,LY-HOT-000023,hotels,بيوت الشباب,hostel,IMG-E1B016E4293C4E28,assets/images/hotels/hotels-LY-HOTELS-00023-04.webp,gallery,true,true,high,IMG-E1B016E4293C4E28,DUP-01198,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00058,LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),hostel,IMG-F5D8E40E6C1EA4DB,assets/images/hotels/hotels-LY-HOTELS-00024-01.webp,gallery,true,true,thumbnail_only,IMG-ECA705914F3DDBD7,DUP-00833,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00059,LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),hostel,IMG-E7D3068BC5E134C3,assets/images/hotels/hotels-LY-HOTELS-00024-03.webp,gallery,true,true,thumbnail_only,IMG-FB213F7408D70E4A,DUP-01173,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00060,LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),hostel,IMG-DE54699A7BE9E866,assets/images/hotels/hotels-LY-HOTELS-00024-04.webp,gallery,true,true,thumbnail_only,IMG-6E0E1A2F23BFA9C0,DUP-00116,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00061,LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),hostel,IMG-2DCB4191BC42A6BC,assets/images/hotels/hotels-LY-HOTELS-00024-05.webp,gallery,true,true,thumbnail_only,IMG-9A7A508A4150B7F2,DUP-01201,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00062,LY-HOT-000025,hotels,منتجع ايميليا,resort,IMG-E4FA3718C8C00988,assets/images/hotels/hotels-LY-HOTELS-00025-02.webp,gallery,true,true,thumbnail_only,IMG-08F6D5CE7DAC9C94,DUP-00284,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00063,LY-HOT-000025,hotels,منتجع ايميليا,resort,IMG-2ED96BA245C7977F,assets/images/hotels/hotels-LY-HOTELS-00025-03.webp,gallery,true,true,thumbnail_only,IMG-E6D959555AF952BD,DUP-00338,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00064,LY-HOT-000025,hotels,منتجع ايميليا,resort,IMG-ED49B7E26705D04D,assets/images/hotels/hotels-LY-HOTELS-00025-04.webp,gallery,true,true,thumbnail_only,IMG-2AD89B2842B07053,DUP-00578,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00065,LY-HOT-000025,hotels,منتجع ايميليا,resort,IMG-185BDC2EE6D50CD9,assets/images/hotels/hotels-LY-HOTELS-00025-05.webp,gallery,true,true,thumbnail_only,,,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00066,LY-HOT-000025,hotels,منتجع ايميليا,resort,IMG-BB269B254C48DEA9,assets/images/hotels/hotels-LY-HOTELS-00025-06.webp,gallery,true,true,thumbnail_only,IMG-07FFCFDE37505508,DUP-00617,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00067,LY-HOT-000026,hotels,منتجع وموتيل الأمان,resort,IMG-2B0470543FB41D5D,assets/images/hotels/hotels-LY-HOTELS-00026-01.webp,gallery,true,true,thumbnail_only,IMG-C455F0239870E895,DUP-00875,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00068,LY-HOT-000026,hotels,منتجع وموتيل الأمان,resort,IMG-DC66EC13E3ED095D,assets/images/hotels/hotels-LY-HOTELS-00026-02.webp,gallery,true,true,thumbnail_only,IMG-73A199B840BD9A0E,DUP-00862,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00069,LY-HOT-000026,hotels,منتجع وموتيل الأمان,resort,IMG-1E9F3B0C58B000F9,assets/images/hotels/hotels-LY-HOTELS-00026-03.webp,gallery,true,true,thumbnail_only,,,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00070,LY-HOT-000026,hotels,منتجع وموتيل الأمان,resort,IMG-12A99CAC837B7066,assets/images/hotels/hotels-LY-HOTELS-00026-04.webp,gallery,true,true,thumbnail_only,IMG-6468C08B1B1F0DFA,DUP-00225,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00071,LY-HOT-000027,hotels,بيوت شباب غدامس,review_required,IMG-76159BDC315DE906,assets/images/hotels/hotels-LY-HOTELS-00027-02.webp,gallery,true,true,thumbnail_only,IMG-2A66FD84B44F3088,DUP-00142,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00072,LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,hotel,IMG-EEC9D5AE902233A5,assets/images/hotels/hotels-LY-HOTELS-00028-01.webp,gallery,true,true,thumbnail_only,IMG-228F6BDB3D316354,DUP-00242,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00073,LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,hotel,IMG-CC12F19157DAA806,assets/images/hotels/hotels-LY-HOTELS-00028-02.webp,gallery,true,true,thumbnail_only,IMG-CDA45E1F00D6ADE2,DUP-00178,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00074,LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,hotel,IMG-9180DF4FCBAF9A01,assets/images/hotels/hotels-LY-HOTELS-00028-03.webp,gallery,true,true,thumbnail_only,IMG-A0A5587BA0643ED6,DUP-01119,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00075,LY-HOT-000029,hotels,فندق أبراج الوسطى,hotel,IMG-0F373BA333C2EBDE,assets/images/hotels/hotels-LY-HOTELS-00029-03.webp,gallery,true,true,thumbnail_only,IMG-CB96DDDE68C5CFBE,DUP-00502,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00076,LY-HOT-000029,hotels,فندق أبراج الوسطى,hotel,IMG-35F1F2EDB9CDDCA1,assets/images/hotels/hotels-LY-HOTELS-00029-04.webp,gallery,true,true,thumbnail_only,IMG-C08AB5D6B044ED79,DUP-00202,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00077,LY-HOT-000031,hotels,فندق قصر الفيروز,hostel,IMG-4B53EBB6AABCC1D3,assets/images/hotels/hotels-LY-HOTELS-00031-01.webp,gallery,true,true,thumbnail_only,IMG-935DD19ECAFD33E4,DUP-00031,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00078,LY-HOT-000031,hotels,فندق قصر الفيروز,hostel,IMG-110FEF464D2C395F,assets/images/hotels/hotels-LY-HOTELS-00031-02.webp,gallery,true,true,thumbnail_only,IMG-BE5EAB4A5C09CAA4,DUP-00021,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00079,LY-HOT-000031,hotels,فندق قصر الفيروز,hostel,IMG-590675C1DE7ECB98,assets/images/hotels/hotels-LY-HOTELS-00031-03.webp,gallery,true,true,thumbnail_only,IMG-ACCE222A1C8826AD,DUP-00790,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00080,LY-HOT-000031,hotels,فندق قصر الفيروز,hostel,IMG-88F9E3D4EBB82F29,assets/images/hotels/hotels-LY-HOTELS-00031-04.webp,gallery,true,true,thumbnail_only,IMG-7B49A9BE9EE45794,DUP-00634,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00081,LY-HOT-000031,hotels,فندق قصر الفيروز,hostel,IMG-792FD5E40F6FFFF5,assets/images/hotels/hotels-LY-HOTELS-00031-05.webp,gallery,true,true,thumbnail_only,IMG-6332230EC4683844,DUP-00405,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
