feature_id,layer_id,name_ar,review_priority,candidate_count,recommended_action,notes
LY-HOT-000116,hotels,فندق قمر صبراتة,PRIORITY_A,1,manual_visual_review,
LY-HOT-000117,hotels,فندق كونتنتال,PRIORITY_C,0,no_local_candidate,
LY-HOT-000118,hotels,فندق لبدة السياحي الخمس,PRIORITY_A,9,manual_visual_review,
LY-HOT-000119,hotels,فندق ليالي قرطاج,PRIORITY_A,3,manual_visual_review,
LY-HOT-000120,hotels,فندق ليبيا,PRIORITY_A,6,manual_visual_review,
LY-HOT-000121,hotels,فندق مادي الحسان,PRIORITY_A,4,manual_visual_review,
LY-HOT-000122,hotels,فندق واستراحة جادو,PRIORITY_C,0,no_local_candidate,
LY-HOT-000123,hotels,فندق ومطعم الامتياز,PRIORITY_A,6,manual_visual_review,
LY-HOT-000124,hotels,فندق ومطعم النزهة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000125,hotels,فندق يفرن,PRIORITY_A,1,manual_visual_review,
LY-HOT-000126,hotels,طرابلس للشقق الفندقية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000127,hotels,نزل طرابلس الحديث,PRIORITY_C,0,no_local_candidate,
LY-HOT-000128,hotels,فندق الثريا السياحي,PRIORITY_A,5,manual_visual_review,
LY-HOT-000129,hotels,فندق الأنيس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000130,hotels,فندق البتراء,PRIORITY_A,5,manual_visual_review,
LY-HOT-000131,hotels,فندق البردي,PRIORITY_A,4,manual_visual_review,
LY-HOT-000132,hotels,فندق التلال,PRIORITY_A,5,manual_visual_review,
LY-HOT-000133,hotels,فندق الجبل الأخضر,PRIORITY_C,0,no_local_candidate,
LY-HOT-000134,hotels,فندق الجغبوب,PRIORITY_A,2,manual_visual_review,
LY-HOT-000135,hotels,فندق الجلاء,PRIORITY_A,3,manual_visual_review,
LY-HOT-000137,hotels,فندق الخان الطرابلسي,PRIORITY_A,9,manual_visual_review,
LY-HOT-000138,hotels,فندق الرحاب,PRIORITY_A,2,manual_visual_review,
LY-HOT-000140,hotels,فندق الزيتونة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000142,hotels,فندق السلام,PRIORITY_C,0,no_local_candidate,
LY-HOT-000143,hotels,فندق ابن الرومي,PRIORITY_A,1,manual_visual_review,
LY-HOT-000144,hotels,فندق اجدابيا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000145,hotels,فندق الحياة,PRIORITY_A,5,manual_visual_review,
LY-HOT-000146,hotels,فندق الصحراوي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000148,hotels,فندق العوينات,PRIORITY_A,1,manual_visual_review,
LY-HOT-000149,hotels,فندق الفردوس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000150,hotels,فندق الفضيل,PRIORITY_A,5,manual_visual_review,
LY-HOT-000151,hotels,فندق الفضيل رأس لانوف,PRIORITY_A,2,manual_visual_review,
LY-HOT-000152,hotels,فندق الفلك,PRIORITY_A,3,manual_visual_review,
LY-HOT-000153,hotels,فندق القرضابية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000154,hotels,فندق القلعة,PRIORITY_A,1,manual_visual_review,
LY-HOT-000155,hotels,فندق الكاظم,PRIORITY_A,1,manual_visual_review,
LY-HOT-000157,hotels,فندق المبروك,PRIORITY_A,3,manual_visual_review,
LY-HOT-000158,hotels,فندق المتوسط الخمس,PRIORITY_A,3,manual_visual_review,
LY-HOT-000159,hotels,فندق المدينة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000160,hotels,فندق المدينة,PRIORITY_A,4,manual_visual_review,
LY-HOT-000162,hotels,فندق المدينة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000163,hotels,فندق المرج السياحي,PRIORITY_A,4,manual_visual_review,
LY-HOT-000164,hotels,فندق المسيرة,PRIORITY_A,5,manual_visual_review,
LY-HOT-000166,hotels,فندق المغرب العربي,PRIORITY_A,4,manual_visual_review,
LY-HOT-000167,hotels,فندق المنار,PRIORITY_C,0,no_local_candidate,
LY-HOT-000168,hotels,فندق النادي الليبي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000169,hotels,فندق النخلة السياحي,PRIORITY_A,5,manual_visual_review,
LY-HOT-000170,hotels,فندق النخيل - مغلق,PRIORITY_C,0,no_local_candidate,
LY-HOT-000171,hotels,فندق النوران,PRIORITY_A,5,manual_visual_review,
LY-HOT-000172,hotels,فندق الهاروج,PRIORITY_C,0,no_local_candidate,
LY-HOT-000176,hotels,فندق الوادي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000178,hotels,فندق الياقوتة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000179,hotels,فندق الياقوتة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000180,hotels,فندق اليقين,PRIORITY_C,0,no_local_candidate,
LY-HOT-000181,hotels,فندق اليمامة,PRIORITY_A,2,manual_visual_review,
LY-HOT-000182,hotels,فندق اوزو,PRIORITY_C,0,no_local_candidate,
LY-HOT-000183,hotels,فندق ايلاف,PRIORITY_C,0,no_local_candidate,
LY-HOT-000184,hotels,فندق أبراج المدينة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000185,hotels,فندق أجنحة قرطاج,PRIORITY_C,0,no_local_candidate,
LY-HOT-000186,hotels,فندق أفريقيا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000187,hotels,فندق أفريقيا,PRIORITY_A,3,manual_visual_review,
LY-HOT-000188,hotels,فندق أكاكوس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000189,hotels,فندق أكاكوس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000190,hotels,فندق أمال ليبيا,PRIORITY_A,3,manual_visual_review,
LY-HOT-000191,hotels,فندق أوجلة السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000192,hotels,فندق أويا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000193,hotels,فندق باب البحر,PRIORITY_A,4,manual_visual_review,
LY-HOT-000194,hotels,فندق براك,PRIORITY_C,0,no_local_candidate,
LY-HOT-000195,hotels,فندق برينيتشي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000196,hotels,فندق بلازما,PRIORITY_A,5,manual_visual_review,
LY-HOT-000198,hotels,فندق بنغازي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000201,hotels,فندق توباكتس,PRIORITY_A,4,manual_visual_review,
LY-HOT-000202,hotels,فندق تيبستي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000203,hotels,فندق جاكرتا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000204,hotels,فندق جالو السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000205,hotels,فندق جرمة السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000206,hotels,فندق جليانة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000207,hotels,فندق دار جرمة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000208,hotels,فندق دوجال السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000209,hotels,فندق ديار الهناء,PRIORITY_A,1,manual_visual_review,
LY-HOT-000210,hotels,فندق رواسي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000211,hotels,فندق رويال,PRIORITY_C,0,no_local_candidate,
LY-HOT-000212,hotels,فندق ريباس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000216,hotels,فندق زهرة البطنان,PRIORITY_C,0,no_local_candidate,
LY-HOT-000218,hotels,فندق زين,PRIORITY_C,0,no_local_candidate,
LY-HOT-000221,hotels,فندق سفيروس الخمس,PRIORITY_A,4,manual_visual_review,
LY-HOT-000223,hotels,فندق صحارى ليبيا,PRIORITY_A,3,manual_visual_review,
LY-HOT-000226,hotels,فندق عمر الخيام,PRIORITY_C,0,no_local_candidate,
LY-HOT-000229,hotels,فندق فيلا النوران,PRIORITY_C,0,no_local_candidate,
LY-HOT-000230,hotels,فندق قاطش,PRIORITY_C,0,no_local_candidate,
LY-HOT-000232,hotels,فندق قصر البيضاء,PRIORITY_C,0,no_local_candidate,
LY-HOT-000234,hotels,فندق قصر الفضيل,PRIORITY_C,0,no_local_candidate,
LY-HOT-000236,hotels,فندق قصر النيل,PRIORITY_C,0,no_local_candidate,
LY-HOT-000237,hotels,فندق قصر الواحة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000238,hotels,فندق قصور الضيافة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000239,hotels,فندق قصي للشقق المفروشة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000241,hotels,فندق قورينا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000243,hotels,فندق لؤلؤة درنة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000246,hotels,فندق ميزران,PRIORITY_C,0,no_local_candidate,
LY-HOT-000247,hotels,فندق هارون,PRIORITY_C,0,no_local_candidate,
LY-HOT-000251,hotels,الفندق السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000252,hotels,الفندق القديم,PRIORITY_C,0,no_local_candidate,
LY-HOT-000253,hotels,الفندق الكبير,PRIORITY_C,0,no_local_candidate,
LY-HOT-000254,hotels,القرية السياحية قاريونس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000256,hotels,نزل المدينة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000257,hotels,نزل أمباي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000258,hotels,نزل بيروت,PRIORITY_C,0,no_local_candidate,
LY-HOT-000260,hotels,نزل مرحبا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000261,hotels,الماسة للشقق الفندقية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000262,hotels,فندق فزان,PRIORITY_C,0,no_local_candidate,
LY-HOT-000263,hotels,فندق المختار,PRIORITY_C,0,no_local_candidate,
LY-HOT-000264,hotels,فندق قصر كاباو,PRIORITY_C,0,no_local_candidate,
LY-HOT-000265,hotels,فندق الأفريقي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000266,hotels,فندق قرطاج السياحى1,PRIORITY_C,0,no_local_candidate,
LY-HOT-000267,hotels,فندق السارة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000268,hotels,فندق الفصول الاربعة 3,PRIORITY_A,1,manual_visual_review,
LY-HOT-000269,hotels,فندق أوال,PRIORITY_C,0,no_local_candidate,
LY-HOT-000270,hotels,فندق المتوسط,PRIORITY_C,0,no_local_candidate,
LY-HOT-000271,hotels,فندق قرطاج السياحى2,PRIORITY_C,0,no_local_candidate,
LY-HOT-000272,hotels,فندق التوفيق 2,PRIORITY_C,0,no_local_candidate,
LY-HOT-000273,hotels,فندق النعيم,PRIORITY_A,5,manual_visual_review,
LY-HOT-000274,hotels,نزل كيلو بتراء,PRIORITY_C,0,no_local_candidate,
LY-HOT-000275,hotels,فندق الفصول الاربعة 2,PRIORITY_A,3,manual_visual_review,
LY-HOT-000276,hotels,فندق السفير,PRIORITY_A,2,manual_visual_review,
LY-HOT-000277,hotels,فندق نور الثريا,PRIORITY_A,3,manual_visual_review,
