feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-HOT-000024,IMG-DE54699A7BE9E866,1,candidate,IMG-6E0E1A2F23BFA9C0,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000024,IMG-2DCB4191BC42A6BC,1,candidate,IMG-9A7A508A4150B7F2,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000025,IMG-E4FA3718C8C00988,1,candidate,IMG-08F6D5CE7DAC9C94,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000025,IMG-2ED96BA245C7977F,1,candidate,IMG-E6D959555AF952BD,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000025,IMG-ED49B7E26705D04D,1,candidate,IMG-2AD89B2842B07053,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000025,IMG-185BDC2EE6D50CD9,1,candidate,,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000025,IMG-BB269B254C48DEA9,1,candidate,IMG-07FFCFDE37505508,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000026,IMG-2B0470543FB41D5D,1,candidate,IMG-C455F0239870E895,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000026,IMG-DC66EC13E3ED095D,1,candidate,IMG-73A199B840BD9A0E,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000026,IMG-1E9F3B0C58B000F9,1,candidate,,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000026,IMG-12A99CAC837B7066,1,candidate,IMG-6468C08B1B1F0DFA,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000027,IMG-76159BDC315DE906,1,candidate,IMG-2A66FD84B44F3088,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000028,IMG-EEC9D5AE902233A5,1,candidate,IMG-228F6BDB3D316354,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000028,IMG-CC12F19157DAA806,1,candidate,IMG-CDA45E1F00D6ADE2,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000028,IMG-9180DF4FCBAF9A01,1,candidate,IMG-A0A5587BA0643ED6,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000029,IMG-0F373BA333C2EBDE,1,candidate,IMG-CB96DDDE68C5CFBE,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000029,IMG-35F1F2EDB9CDDCA1,1,candidate,IMG-C08AB5D6B044ED79,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000031,IMG-4B53EBB6AABCC1D3,1,candidate,IMG-935DD19ECAFD33E4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000031,IMG-110FEF464D2C395F,1,candidate,IMG-BE5EAB4A5C09CAA4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000031,IMG-590675C1DE7ECB98,1,candidate,IMG-ACCE222A1C8826AD,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000031,IMG-88F9E3D4EBB82F29,1,candidate,IMG-7B49A9BE9EE45794,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000031,IMG-792FD5E40F6FFFF5,1,candidate,IMG-6332230EC4683844,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000031,IMG-FFE2673C35F0DB78,1,candidate,IMG-A06795E129A97F38,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000032,IMG-5BA106F592D0332E,1,candidate,IMG-19CA1851ED79FB1D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000032,IMG-3E3FF2B9BBAEFFDB,1,candidate,IMG-2FA35C187FC45B3D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000032,IMG-4B63A3D90F8A46D0,1,candidate,IMG-C615EE7FE44FF088,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000034,IMG-5ED99B628601EBD3,1,candidate,IMG-522DC3EE12090AF5,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000035,IMG-657CB03042B5C04B,1,candidate,IMG-03ECD13E8D5C6991,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000035,IMG-CE769FD5F6AAABCE,1,candidate,IMG-2484267A6E6822D2,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000035,IMG-69AD6A21A3E984EB,1,candidate,IMG-93BF26F7ED744E21,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000035,IMG-340DE9CF9A3B05FC,1,candidate,IMG-F5781B86F1F14F78,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000036,IMG-02413AAE55399FB1,1,candidate,IMG-D3FB20419603B1A1,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000036,IMG-2BF4C09ED2ED2AE0,1,candidate,IMG-982EFF887CF64AFB,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000036,IMG-01918427C4543AEF,1,candidate,IMG-02DD2D3973F5720A,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000036,IMG-2D6FD52000FBB7A9,1,candidate,IMG-0C85CA8C6A8DB3B4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000037,IMG-5806382F3E321975,1,candidate,IMG-D0E8CF7434915CC6,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000037,IMG-24671DEE5175D8F7,1,candidate,IMG-5BDAB4269E892130,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000037,IMG-4F8609AE7C0DB9C4,1,candidate,IMG-3A059A0B4DC4A8E3,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000038,IMG-2BEC7C4B87BFEE2A,1,candidate,IMG-DE7D1D958BED2577,not_individually_verified,unknown,pending_institutional_approval,false,
