link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,duplicate_group_id,master_image_id,rights_status,publication_permission,verification_status,recommended_action,replacement_image_id,evidence,confidence,manual_review_required,notes
P2LINK-000147,LY-HOT-000057,hotels,فندق الزهر,IMG-4DB6C4C1628610CE,assets/images/hotels/hotels-LY-HOTELS-00057-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00771,IMG-4D092ADC2C638D11,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000148,LY-HOT-000057,hotels,فندق الزهر,IMG-034DF0F3051EAC20,assets/images/hotels/hotels-LY-HOTELS-00057-05.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01263,IMG-DE98501F9EAB6547,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000149,LY-HOT-000058,hotels,فندق الزيتونة,IMG-63F705E27DA71CF5,assets/images/hotels/hotels-LY-HOTELS-00058-01.webp,gallery,true,acceptable,cannot_determine,DUP-01366,IMG-663C7115DAD00DDA,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000150,LY-HOT-000058,hotels,فندق الزيتونة,IMG-A03C14D169C38CD7,assets/images/hotels/hotels-LY-HOTELS-00058-02.webp,gallery,true,high,cannot_determine,DUP-01183,IMG-22CEA54D3A637E23,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000151,LY-HOT-000058,hotels,فندق الزيتونة,IMG-BA4579788FA5B783,assets/images/hotels/hotels-LY-HOTELS-00058-03.webp,gallery,true,high,cannot_determine,DUP-00492,IMG-8888DECE5AFEA5F5,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000152,LY-HOT-000058,hotels,فندق الزيتونة,IMG-14D5E5C9975ACDF6,assets/images/hotels/hotels-LY-HOTELS-00058-04.webp,gallery,true,high,cannot_determine,DUP-00841,IMG-A31DB5C9968F4C89,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000153,LY-HOT-000059,hotels,فندق السرايا,IMG-12604B3B51DF48AE,assets/images/hotels/hotels-LY-HOTELS-00059-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00860,IMG-94AC661C198FA9B4,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000154,LY-HOT-000059,hotels,فندق السرايا,IMG-D0018E7F483C8003,assets/images/hotels/hotels-LY-HOTELS-00059-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00520,IMG-5269628C74ADF318,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000155,LY-HOT-000059,hotels,فندق السرايا,IMG-2E5099729EF0CCDC,assets/images/hotels/hotels-LY-HOTELS-00059-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00985,IMG-D7BAD4FD82094B14,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000156,LY-HOT-000059,hotels,فندق السرايا,IMG-7ADCDC722B0F3863,assets/images/hotels/hotels-LY-HOTELS-00059-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00584,IMG-A5B81BF4BC8A2AF6,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
