review_id,image_id,thumbnail_path,file_name,possible_destination,possible_layer,possible_feature_id,review_reason,technical_quality,duplicate_group_id,rights_status,recommended_action,reviewer_decision,verified_feature_id,verified_role,verified_rights_status,reviewer_name,review_date,notes
IMGREV-000031,IMG-42477E3B530F1B24,,akakus-LY-AKAKUS-00017-01.png,akakus,akakus,LY-AKAKUS-00017-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01205,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000032,IMG-98895A5245017107,,akakus-LY-AKAKUS-00017-01.webp,akakus,akakus,LY-AKAKUS-00017-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01205,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000033,IMG-C6FF601D9462EF6A,,akakus-LY-AKAKUS-00018-01.png,akakus,akakus,LY-AKAKUS-00018-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00658,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000034,IMG-A28418CF13F02997,,akakus-LY-AKAKUS-00018-01.webp,akakus,akakus,LY-AKAKUS-00018-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00658,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000035,IMG-7308AB91EC5133CA,,akakus-LY-AKAKUS-00019-01.png,akakus,akakus,LY-AKAKUS-00019-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00503,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000036,IMG-E68C5524026BFC18,,akakus-LY-AKAKUS-00019-01.webp,akakus,akakus,LY-AKAKUS-00019-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00503,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000037,IMG-83D131761F7EA25D,,akakus-LY-AKAKUS-00020-01.png,akakus,akakus,LY-AKAKUS-00020-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00302,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000038,IMG-3BFE174325C444CE,,akakus-LY-AKAKUS-00020-01.webp,akakus,akakus,LY-AKAKUS-00020-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00302,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000039,IMG-B45F567D113D9D86,,akakus-LY-AKAKUS-00021-01.png,akakus,akakus,LY-AKAKUS-00021-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01106,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000040,IMG-C8132570EE97B6C9,,akakus-LY-AKAKUS-00021-01.webp,akakus,akakus,LY-AKAKUS-00021-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01106,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000041,IMG-AC0D675910C9E48B,,akakus-LY-AKAKUS-00022-01.png,akakus,akakus,LY-AKAKUS-00022-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00757,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
