image_id,source_relative_path,feature_ids,layer_ids,usage_count,usage_classification,primary_usage_count,recommended_action,manual_review_completed,notes
IMG-FAA17FD560A029DB,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-stage-wide.jpg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-EA523B86514BFF39,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-stage-front.jpg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-329E6F036C58F524,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-panorama.jpg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-CDBD255F1EDFB047,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-overview.jpg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-02558E0EC9D8A4C4,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-official-001.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-A921BDB1470142C4,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-official-012.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-3D2566CF42357128,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-official-013.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-D7DF4A3E27FA5969,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-official-014.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-23CE781AE35FECBC,assets/media/LIBYA/heritage/leptis-magna/published/theatre/theatre-official-015.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-02558E0EC9D8A4C4,assets/media/LIBYA/heritage/leptis-magna/published/theatre/leptis-official-001.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-A921BDB1470142C4,assets/media/LIBYA/heritage/leptis-magna/published/theatre/leptis-official-012.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-3D2566CF42357128,assets/media/LIBYA/heritage/leptis-magna/published/theatre/leptis-official-013.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-D7DF4A3E27FA5969,assets/media/LIBYA/heritage/leptis-magna/published/theatre/leptis-official-014.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-23CE781AE35FECBC,assets/media/LIBYA/heritage/leptis-magna/published/theatre/leptis-official-015.jpeg,WH-LY-001-0002|WH-LY-001-0026,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
