path,filename,extension,file_size,width,height,sha256,expected_site,publication_status,used_currently,duplicate_group
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-002.jpeg,leptis-official-002.jpeg,.jpeg,174820,1080,1080,d5179154990536a1faf19b6e92581196a3f9b4cdd9cea0122ee5f6a76a717898,leptis,published,yes,DUP-0083
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-003.jpeg,leptis-official-003.jpeg,.jpeg,124432,1080,1080,57d62df802ad2c6517f6f72d1a61ff67e364024010b6479d0f09032063064ef7,leptis,published,yes,DUP-0084
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-004.jpeg,leptis-official-004.jpeg,.jpeg,174820,1080,1080,d5179154990536a1faf19b6e92581196a3f9b4cdd9cea0122ee5f6a76a717898,leptis,published,yes,DUP-0083
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-005.jpeg,leptis-official-005.jpeg,.jpeg,96507,810,1080,c8c4add5e99e03a9e78adb8fb8c868fef158c9acbd44d66d7a069edb58f9dc34,leptis,published,yes,DUP-0085
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-006.jpeg,leptis-official-006.jpeg,.jpeg,144618,836,1080,30524ac72571041e439ea9547f820f88634392bf2e40b1285033e54dbad89674,leptis,published,yes,DUP-0086
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-007.jpeg,leptis-official-007.jpeg,.jpeg,85695,750,1000,4e78cad5e554177fc44ba4b9941ee13cef10f379f722ba1096db0f39c99d3544,leptis,published,yes,DUP-0087
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-008.jpeg,leptis-official-008.jpeg,.jpeg,142567,1080,1080,72b85afa6ca0250d6afd0c2ba4dc098f4a300ec929ae439c537e7c4d7128d36e,leptis,published,yes,DUP-0088
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-009.jpeg,leptis-official-009.jpeg,.jpeg,106007,750,1000,a3c461db57c74a23d1fdd58b7428ef8d293af0d06601c19c34a4d191cad62c8d,leptis,published,yes,DUP-0089
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-010.jpeg,leptis-official-010.jpeg,.jpeg,129558,1080,811,3cde9251ae52d7c7e5bc45fcec714cb3f5e62424a6a427ba1199af28df218fb8,leptis,published,yes,DUP-0090
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-011.jpeg,leptis-official-011.jpeg,.jpeg,135515,1000,750,124b33a5f5d5f40bafcc0469f5cb4961cf3591b7378ae443a8156907567934a8,leptis,published,yes,DUP-0091
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-012.jpeg,leptis-official-012.jpeg,.jpeg,126593,1000,750,a921bdb1470142c4d92a90c47c8989e385d27bb281d59a8de1a6293fb7cc958c,leptis,published,yes,DUP-0092
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-013.jpeg,leptis-official-013.jpeg,.jpeg,160976,1000,750,3d2566cf4235712803710c30fbce5f8ba15ab7aa1b6c71a894a6a537add37897,leptis,published,yes,DUP-0093
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-014.jpeg,leptis-official-014.jpeg,.jpeg,113057,1000,563,d7df4a3e27fa596997963046d6c9e2737ddc6d36e4a7497b3278e622408f8899,leptis,published,yes,DUP-0094
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-015.jpeg,leptis-official-015.jpeg,.jpeg,121115,1000,563,23ce781ae35fecbc3eaf12335d2f22c64e6dc487ac620e1b1965d7c5ae66b7d6,leptis,published,yes,DUP-0095
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-016.jpeg,leptis-official-016.jpeg,.jpeg,82749,1000,563,5f35d972082346803d7d7c87d76f64c27967d7faac5005b780feb5746665a580,leptis,published,yes,DUP-0096
