feature_id,image_id,technical_quality,resolution,aspect_ratio,sharpness_available,brightness_available,file_health,master_status,watermark_detectable_if_metadata_or_visual_review,duplicate_status,notes
LY-HOT-000057,IMG-B7DE3703E4372DC6,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000058,IMG-63F705E27DA71CF5,acceptable,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000059,IMG-12604B3B51DF48AE,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000060,IMG-529535B1FF6858C1,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000061,IMG-1FEA6DD92699F439,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000062,IMG-20030B09B95C21F0,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000064,IMG-301D258252D7F3D2,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000065,IMG-FC2F7E0A509C8E80,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000066,IMG-07D179D8F1F3B4C8,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000067,IMG-506CFAE19599447E,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000068,IMG-2754AC0FDB2BC23D,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000071,IMG-8F2297D7FBB16C96,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000072,IMG-0FA01A3B05B019A0,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000074,IMG-5F1F8C35419379DF,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000075,IMG-4F0A3CE02FA1B883,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000077,IMG-31E0CFFABE88906C,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
