feature_id,current_layer_id,name_ar,name_en,current_facility_type,proposed_facility_type,classification_basis,confidence,manual_confirmation_required,notes
LY-HOT-000078,hotels,فندق المنامة,Al Manama Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000079,hotels,فندق النخلة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000080,hotels,فندق النقازة الخمس,Anakazh Hotel,resort,hotel,runtime layer hotels,high,false,
LY-HOT-000081,hotels,فندق النهر,alnaher HOTEL,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000082,hotels,فندق الهنشيري,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000083,hotels,فندق الهيشة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000084,hotels,فندق الواحات,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000085,hotels,فندق الياسمين,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000086,hotels,فندق أجنحة قرطاج,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000087,hotels,فندق أفريقيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000088,hotels,فندق بنت السيد,Funduq Bint al-Sayyid,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000089,hotels,فندق بودلغوسة,Al-Haj Mahmoud Mohammed Abu Dalghousa Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000090,hotels,فندق بيت الأمان,Beat Alaman Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000091,hotels,فندق بيت الشرق,Bait Al Sharq hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000092,hotels,فندق تابكت,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000093,hotels,لانكاستر برج الحياة ( ماريوت سابقا),Lancaster Burj Al Hayat,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000094,hotels,فندق دار غدامس,Dar Ghadames hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000095,hotels,فندق ديار الهناء,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000096,hotels,فندق ليبوس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000097,hotels,فندق ريكسوس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000098,hotels,فندق زليتن,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000099,hotels,فندق زميت,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000100,hotels,فندق زوارة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000101,hotels,فندق سرايا الليبو,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000102,hotels,فندق سفاري,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000103,hotels,فندق سفاري 2,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000104,hotels,فندق شروق افريقيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000105,hotels,فندق ضيافة ونيس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000106,hotels,فندق طرابلس الدولي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000107,hotels,فندق طليطلة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000108,hotels,فندق طيبة,Teba Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000109,hotels,فندق عمير,Omair Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000110,hotels,فندق عين الفرس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000111,hotels,فندق غابة الكشافة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000112,hotels,فندق غريان السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000113,hotels,فندق قرطاج,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000114,hotels,فندق قصر الظهرة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000115,hotels,فندق قصر الفيروز,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000116,hotels,فندق قمر صبراتة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000117,hotels,فندق كونتنتال,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000118,hotels,فندق لبدة السياحي الخمس,Leptis Magna Hotel),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000119,hotels,فندق ليالي قرطاج,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000120,hotels,فندق ليبيا,(Libya Hotel),hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000121,hotels,فندق مادي الحسان,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000122,hotels,فندق واستراحة جادو,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000123,hotels,فندق ومطعم الامتياز,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000124,hotels,فندق ومطعم النزهة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000125,hotels,فندق يفرن,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000126,hotels,طرابلس للشقق الفندقية,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000127,hotels,نزل طرابلس الحديث,,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000128,hotels,فندق الثريا السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000129,hotels,فندق الأنيس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000130,hotels,فندق البتراء,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000131,hotels,فندق البردي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000132,hotels,فندق التلال,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000133,hotels,فندق الجبل الأخضر,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000134,hotels,فندق الجغبوب,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000135,hotels,فندق الجلاء,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000137,hotels,فندق الخان الطرابلسي,El Khan Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000138,hotels,فندق الرحاب,(Al Rehab Hotel),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000140,hotels,فندق الزيتونة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000142,hotels,فندق السلام,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000143,hotels,فندق ابن الرومي,Ibn Al-Rumi Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000144,hotels,فندق اجدابيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000145,hotels,فندق الحياة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000146,hotels,فندق الصحراوي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000148,hotels,فندق العوينات,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000149,hotels,فندق الفردوس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000150,hotels,فندق الفضيل,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000151,hotels,فندق الفضيل رأس لانوف,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000152,hotels,فندق الفلك,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000153,hotels,فندق القرضابية,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000154,hotels,فندق القلعة,,hotel,hotel,runtime layer hotels,high,false,
