source_index,source_folder,raw_name,normalized_name,longitude,latitude,geometry_type,description,exclusion_reason,source_file
100,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
101,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
102,مدينة لبدة الاثرية الكبرى,,,"[[14.283536, 32.637408, 0.0], [14.283543, 32.637369, 0.0], [14.28356, 32.637332, 0.0], [14.283587, 32.637299, 0.0], [14.283622, 32.637272, 0.0], [14.283663, 32.637252, 0.0], [14.283708, 32.63724, 0.0], [14.283756, 32.637238, 0.0], [14.283802, 32.637244, 0.0], [14.283846, 32.637259, 0.0], [14.283885, 32.637281, 0.0], [14.283917, 32.63731, 0.0], [14.283941, 32.637345, 0.0], [14.283954, 32.637383, 0.0], [14.283958, 32.637423, 0.0], [14.283951, 32.637462, 0.0], [14.283933, 32.637499, 0.0], [14.283906, 32.637532, 0.0], [14.283871, 32.637559, 0.0], [14.28383, 32.637579, 0.0], [14.283785, 32.63759, 0.0], [14.283738, 32.637593, 0.0], [14.283691, 32.637587, 0.0], [14.283647, 32.637572, 0.0], [14.283608, 32.63755, 0.0], [14.283576, 32.63752, 0.0], [14.283553, 32.637486, 0.0], [14.283539, 32.637448, 0.0], [14.283536, 32.637408, 0.0]]","[[14.283654, 32.637412, 0.0], [14.283657, 32.637395, 0.0], [14.283664, 32.637378, 0.0], [14.283676, 32.637364, 0.0], [14.283692, 32.637352, 0.0], [14.28371, 32.637343, 0.0], [14.28373, 32.637338, 0.0], [14.283751, 32.637337, 0.0], [14.283771, 32.63734, 0.0], [14.283791, 32.637346, 0.0], [14.283808, 32.637356, 0.0], [14.283822, 32.637369, 0.0], [14.283832, 32.637384, 0.0], [14.283838, 32.637401, 0.0], [14.28384, 32.637419, 0.0], [14.283837, 32.637436, 0.0], [14.283829, 32.637453, 0.0], [14.283817, 32.637467, 0.0], [14.283802, 32.637479, 0.0], [14.283784, 32.637488, 0.0], [14.283764, 32.637493, 0.0], [14.283743, 32.637494, 0.0], [14.283722, 32.637491, 0.0], [14.283703, 32.637485, 0.0], [14.283686, 32.637475, 0.0], [14.283671, 32.637462, 0.0], [14.283661, 32.637447, 0.0], [14.283655, 32.63743, 0.0], [14.283654, 32.637412, 0.0]]",Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
103,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
105,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
106,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
107,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
108,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
109,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
112,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
