source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
158,مقهى هارون - حي الأندلس,مقهيهارونحيالاندلس,13.1275228,32.8765321,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
159,ORANGE COFFEE,orangecoffee,13.1313801,32.8695388,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
160,حلويات العسال,حلوياتالعسال,13.130808,32.8701794,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
161,Black and white,blackandwhite,13.133245,32.8706973,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
162,كارفي حي الاندلس,كارفيحيالاندلس,13.1328636,32.8743775,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
163,مقهى اداليا,مقهياداليا,13.1361511,32.8807834,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
164,Wees Cafe - ويس كافي,weescafeويسكافي,13.1376509,32.8805327,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
165,إسبريسو لاب,اسبريسولاب,13.1324481,32.8775787,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
166,عصير تايم,عصيرتايم,13.141267,32.8791769,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
167,مقهى آلينور,مقهيالينور,13.150687,32.879498,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
168,قوست برقر _ Ghost burger,قوستبرقر_ghostburger,13.1510046,32.8776825,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
169,كشك الهمبورقا عمر المختار,كشكالهمبورقاعمرالمختار,13.1585117,32.882197,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
