source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
21,مطعم أورجينال,مطعماورجينال,13.191188,32.885937,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR79s19kinXiuyZwbYN70qvVtMmogbvbSnN6y7mK2dcrkT1CSnX6S6pAUXrVIPqpuXKD_djcreEMdpaXef2qPv_29vtTi9Unr3fnuJ_KTk2DijGmwkPGrRMcsPUZ9SBIfLyiXY5jojTSIQYx1gi8pUnIenfK5tm6QnXMEu3_RlRK4Rj0xx4D4EhaSrCmjJde6lFZ0IP69hPyuu1Up6hJkW_b0qHVAz77x8I7rdJ5Vv_kkAFUKJXsNeXN4Dk?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
22,VIA MERCATO LY,viamercatoly,13.190645,32.886498,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6m-M9BCloYDGkR-MHWF4hI2KIGEcmV3RQkMEleoRt18EtEjCatduixJNIfTrlBJF4cVMHWnSfBxiR2iVOC7SUViSfJHL1nI48WWmEOPISinKfyzYaSRoc4WiPxBfifvGJij5Jf_LI9xwnhDqtryfTN7hnJk0uBN4heL6Yq_TFTzbw8TzJLOjB0R8U-nECBNrDDxoPBWNjFGfHX03FTIH8PgkDv42w0xKjqRsIMxqwLfvuApEDTgzVm8hI?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
23,مطعم مراحب، مطعم,مطعممراحب،مطعم,13.216568,32.883433,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7bx4nLOT1IbUmP5OdpM7kjFaST9RcenA1CSs0XetX_lGzMmUiraSJNhibLlhgGyJcigIhu2KVKDItE9iKJbtpFL1uT0mW4KBjhNZtZi73y8yFE0CP2lFncZccZX_rTrh2zHcK0wzPzXXbzf2RHUQ9b-cVDuUaj5P6lr49eXx69Ba9H8QOCJv0xNOtG3q3VZ1PVgjF_GsTxeGYVme55PnDIIdLc5LduwkzwcYwDxbYIKza8TgUJ32TsEdo?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
24,المطعم السنيورة التركي,المطعمالسنيورهالتركي,13.196109,32.86964,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6Mp-qRx9ioyQ9O3zNUBMv0_I5P6me9pklbbUu8RMebT27a1FdSaIB7Mn_pELZxmA-3Bvya5RpeEx5J0iTFx1jI8sTyefPbK1IFN1FWLCPfdYaa3pDcXtOOjILqD84xCp4RivhGQAu_0-8n2q5nP0QmhQ7qV9jTUbWFa2Fjn6RLCvm52JwqUxVsFYml8VAxIicARmAtJQuZ_Yc2_k2AYFyVVcnpaNKQsHb_HgtjfRk9B4rOeoBzs_d7AuM?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
25,مطعم الطاجين للماكولات الليبية,مطعمالطاجينللماكولاتالليبيه,13.199141,32.881308,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4MOyDr4HkMwkOvTHLpeWuilvgg6qYe3raEZHsLhdQdUhxOMxoeX04UEyg6mI0KLqYtrtp77t-qh-sLwetctiiWKOFoK5PEmivRUZYdCmZpmmlM8laODZcC1uGifvc180LA_Ky6r_5fQkT8Qox61t8SxM3KYZIhaVHo5AnMI2HK7GR-wtCfj5T0U1SS19EyzJGspLxdAhmRwd4OAG3xhJZ0mfK07-j9yV--jkopRpXlUlgpaJ9R3mYY2TQ?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
26,مطعم الزرقاني للمأكولات الطرابلسية,مطعمالزرقانيللماكولاتالطرابلسيه,13.195024,32.886101,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4qBnMoV0pxlxNZDHoxTaMnJv7WTIXc6fmKT6e8kbjIM6YQUT_pQ857kmRxdrijfTHSgS2N5xa9vnun8c7oO7tM-IvVlmd9bohWLL71Iglx5PoLjm6KcR24A0ZjZGQoyxLZohLmHrh-rSruNoEZUP1ttZYPCImL5_4pEEp5G1l0YWJ0S2TfTWald8-8fgVWYVnb8bTCujYwkSzYJI6JRRx-xwf8bMr2iCN5t51n7ktuzMvjig2k18wC3dU?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
27,مطعم لاروكا,مطعملاروكا,13.23441,32.898353,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7zztzjH1P15IDyyY3qdOnf7uspd711CNM8B4Y204cMSo_sbAzscNJpWLGGJw1agAg81QYgOhjGp04tfeOMM33EZbuRRfVIIrbkKGzgOlEn_o0Hy9ofCkekrS-riUOdC5wSrbBlB36R8YPb_cWiGa23qW-cVTB2attyrXXryNrKHCx9eVM3RmaD49YUKYWJpXKNfHaMpgV_B4XvrVEiOVLZol2N2jCOuNCOzGDaDKOsoR7G5h6E4FSiLS8?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600,المطاعم في طرابلس,unique,unique,new_feature
28,بيج بوس برجر,بيجبوسبرجر,13.209228,32.893162,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7O6a87N_BJSwESQ9gsugG_ng3idMSzOi_dZkMw_Z7ZtFgA6wWpxFR_nj9A-EI6UHpulV4_wIfLUlRS_5Sj2_C2kAYnV__wjqr0V9imAwvCcrGIjFqTtj7duHuuRmb0_ayaEJCAic1_P8Po2SRTxNA3UDODLvcDYHTOrLbTpeGTcJ1h5XgYaRUp7jH4fYZDsGTZ3nrGsrD2EgV2SvCf8TGKSqu8MOpSFtSH9GrG8awXDXT48-HhKk8ZQXM?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600,المطاعم في طرابلس,unique,unique,new_feature
29,لا كوتشينا إيطاليانو,لاكوتشيناايطاليانو,13.197367,32.887588,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR44DDs7EWs8MavNCEaBdMd1c3_vvLkmn0aiNq9bV5i-vr0kgi2TsgtZyMnfusFc957F1fD6Ym83DRwUJtL1wV4j90Wb9J9LbFp68oWNUIyJZPzN07c1drAOKwIhky3EMVqUpbXJ6zlu890aYmZDUHCzaLw3dwIgglVvsoXNDAA1nybsk1yfMPsH500HGvTTanUajgXORnR52XFX-JvGJVhh03_qdyuMfFVtFbyrbY1E5tD2o3x4VWqwfi0?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600,المطاعم في طرابلس,unique,unique,new_feature
30,شنابو الدهماني زاوية,شنابوالدهمانيزاويه,13.212874,32.894429,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR79K50FV2xgMpY8nfHPUzyD-4T53weViz5y6Lv4pMVarRmsqisbnKKShE0TAYYV3pQWrok7ywy5VKS5l9JnKlB1b-ZkH2G8T2AgsjFfhnTA4aF4w8zIZ7YfgN9rkrItg60sLJiu7jL0TkmL7G61cafR7hxt_oln0AoLRtDr9JtqdAhsB6PYm5QhJyhIYRimE9FR4m1BMZD-Vfqa55Dy4VpJXT0LQ3AsFA-MzUMBJEvgvIypCLf_7S2XR2A?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600,المطاعم في طرابلس,unique,unique,new_feature
