id,name_ar,facility_type_code,district_ar,longitude,latitude,match_status,data_quality_status,completeness_percent,image_status
LY-FNB-CAF-TRI-00352,مقهي بلاك اند وايت,cafe,,13.3501459,32.8351697,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00353,مستر باسترس mr. Pastries,review_required,,13.2002107,32.8606271,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00354,قهوة عصام الجديدة,coffee_shop,,13.1986325,32.8740664,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00355,La Dolce Vita,review_required,,13.1913561,32.8805558,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00356,كافي برقان,cafe,,13.1889068,32.8804871,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00357,كافي شباب بلادي,cafe,,13.1841758,32.879383,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00358,ويلا كافي,cafe,,13.1817767,32.8813772,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00359,مقهي الأرز,cafe,,13.1803788,32.8837509,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00360,Como Coffee,coffee_shop,,13.179165,32.8821359,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00361,Gelateria pinguino - مثلجات بنقوينو,ice_cream_shop,,13.1845867,32.8844758,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00362,قهوة الببو دحي وجبنة,coffee_shop,,13.1860971,32.8845224,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00363,VIA MERCATO LY,review_required,,13.1906447,32.886498,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00364,فوزي سندوتشات بانينا Fawzi Street food,review_required,,13.182782,32.8898154,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00365,البيت الموريسكي(كازا موريسكي),review_required,,13.1772054,32.8963209,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00366,مقهي باديه,cafe,,13.174363,32.897921,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00367,Coofe Refrehs,review_required,,13.1768839,32.8995243,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00368,شباك -shubbak.ly,review_required,,13.1754439,32.8997391,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00369,MARSA CAFE قهوه على البحر,cafe,,13.1777878,32.8999108,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00370,Old but gold,review_required,,13.1759622,32.9004355,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00371,Caffè del Porto,coffee_shop,,13.1758247,32.902618,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00372,مقهى السيدة مريم,cafe,,13.1758661,32.8986031,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00373,قهوة ابوفينا,coffee_shop,,13.1772051,32.8983828,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00374,فلافل الحموي,review_required,,13.1735496,32.8961497,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00375,مقهى ومطعم الميڨو,cafe_restaurant,,13.1727625,32.8946978,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00376,مقهى صلاح,cafe,,13.1764856,32.8932228,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00377,مقهى عمورة الكيلاني الثريا,cafe,,13.1784375,32.8935625,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00378,مقهي أبو أحمد,cafe,,13.1795909,32.8937203,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00379,مقهى كاره للوجبات السريعة,cafe,,13.1807089,32.8936263,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00380,البريوشة,review_required,,13.1810869,32.8941896,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00381,Saray Café مقهى سراي,cafe,,13.1817598,32.8939463,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00382,Adnan cafe,cafe,,13.1831651,32.893424,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00383,coffe malek,coffee_shop,,13.1810161,32.893303,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00384,مقهى النخيل,cafe,,13.1822371,32.8926472,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00385,Yahya sandwich,review_required,,13.181155,32.8940313,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00386,Nesma Cafe & Restaurant,cafe_restaurant,,13.1831111,32.8943934,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00387,مقهي ومطعم السرايا & Al Saraya Cafe and Restaurant,cafe_restaurant,,13.1824414,32.8946473,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00388,كافي اسامة,cafe,,13.1853596,32.8948182,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00389,مقهى الكرنيش,cafe,,13.1853506,32.8958753,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00390,مقهي فيراري Coffee ferrari,coffee_shop,,13.1841634,32.8967117,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00391,GROUP CAFE,cafe,,13.1678187,32.895261,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00392,الكشك العالمي,review_required,,13.2106951,32.8992755,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00393,مقهى طريق الشط,cafe,,13.2143117,32.8999988,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00394,شهرزاد للحلويات الشرقية والعالمية,dessert_cafe,,13.2185373,32.9003745,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00395,bona cake,dessert_cafe,,13.2213125,32.8923125,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00396,GRILLZA للمعجنات والمشاوي,review_required,,13.2230943,32.8888976,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00397,كافي تشينو,cafe,,13.2314209,32.8885989,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00398,S&M cake,dessert_cafe,,13.2512207,32.8973085,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00399,The cue cafe,cafe,,13.2550206,32.9019359,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00400,دجاج تندوري فرع سوق الجمعة,review_required,,13.264222,32.9064901,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00401,مشاوي أبراج,review_required,,13.2649076,32.9065577,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00402,معمل البركة للحلويات,dessert_cafe,,13.2674375,32.9040625,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00403,Big Boss Burger,review_required,,13.2092235,32.8931622,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00404,Gourmandise Libya,review_required,,13.2088863,32.8923247,new_feature,low,18,no_image
