source_index,source_name,normalized_name,geometry_type,longitude,latitude,centroid_longitude,centroid_latitude,polygon_vertices,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_geometry_status,xml_recovery_status,notes
21,منتجع سمرلاند المائي,منتجعسمرلاندالمايي,Point,13.582164,32.79624,13.582164,32.79624,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5j9Bvu4v7jF615xnJTBfkAHiXMRHlgsyUa4voYCUwdVdbTbwEmMQuL0GTSVdxQbkPx_Py9OYx9YW2j9J-n1NF3BURggu9cVFrM5OMoQwIE7RRzLLHsFF29bmkDJhWWhsivtpXcEEFbFbZB_PP4f7lh6LfqFDMRvB0vmIo__Z-0fZpXsKHnE0uhBe0Q1P4sHFQtnjqiYg_tP32GF9p2CJrKe5kLLbvtH0OvvXv3nJ1udLB15fB2Q-JXM8w?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
22,مصيف قرية مارينا السياحية,مصيفقريهماريناالسياحيه,Point,14.3535,32.5956358,14.3535,32.5956358,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR53Pi4B3ZwVYDSnbCf6fSD8PoldFAWS6SNti_MYOkjLQeYG8STqzUeg-LddbWafC-TLo8YjSiSGU9zmsDWYvWt1VkYX6pDkop5BmnmrI9D6425UFDeEnfIn74W9mVz99ds6o3UCsceaiTUJfUtlHJ57RmIsKcTXoUowuu0PRieXYVP6uszjSnCfv0mRN7XJsopSJr_MFEVGfZtiHBiIJXiETwUOLpaJO6LZgAqW39S3KL5MOvnK66jz2So?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
23,قرية قصر سيلين العائلية,قريهقصرسيلينالعايليه,Point,14.1871872,32.7041884,14.1871872,32.7041884,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6haVCi9ZHrv9abl5WJfwkiuMb6O1tYjJRSz41Cp9Z5i-x3M-poAvgZBor_XoN-ITjrvf9ZTIKx9nLcZ4wcqLnKYp_l9PUVxctXlcu1h1qdHmqwTQJwOhWY_A8qvN-tsodLzhex6vArvhFU45kFhdfXziUjD88_7OhPi9zlOKrsMXAGEozT4d--jsaE4AsYApUlRCLRCIjEcVTMoTFYlhkFWC5bqrl2stuwFdVtuukunkrF97wnLpSm6S0?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
24,قرية حدائق غنيمة,قريهحدايقغنيمه,Point,14.0588067,32.7198825,14.0588067,32.7198825,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5eoX7ALgbWul_vELjEzSV561P1w3S4qPS4MAM6A0B-w69IkzA480Na9Dk0-NInmiaZlXY_HmJ69n4YSH1kUqtWmrnirfMl6_wYWRVmKkEqyxRa1cFNN2ZVr9XCaEKNQvVO4I-ZtaAVrjJz0Pw1RYRdtx5HvngBtYGKZKeZn4pOk8kKqLnJ-vKCb-vCt__10ajAkjvef02t3Y-nqX7X2AW469CSMWpnYmf3B_xVGgyCNTNtWTagr54_mfE?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
25,إستراحة شط غنيمة,استراحهشطغنيمه,Point,14.0287912,32.7217682,14.0287912,32.7217682,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6A0qCUQPNOu-E-B95oyGHkFqOgJslsF9t7TZxL58drQLvyhpsKlxu43OuhK2JnxQggFtCZnkD-ONQcf3C22uwVH31GXcp-2e3pyehQEJ8N1u4k2o2oQBP1TWCPMYkKtzrrIUHhTziG1VAxAOF1JiL9tgdAOPTZHEd2X5zqJzBuG7wBG5bbd9RmBSmFZBS713rmrySOGOSRt7spKrWHAnfE7eUqBiyj1VNIANpnhjjmGC-CvCOJx-QZzP8?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
26,قرية المتوسط العائلية,قريهالمتوسطالعايليه,Point,14.0296077,32.7266548,14.0296077,32.7266548,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6JCDo7cP01L9fiIY1wt7ALJehAMLrOUUaQCiC0Qm0u42McfYrLUy-BDujLH22Ia9X1U1bT6eZYYPvpIfq_GEwBaMAlYaZAljbSlmY-49aZDgI-OjGWcUmMZK6sq_H1Fk6n7kpTkLtXJny6W84Nph0joipx4l_SB6MQADmaQIFXT7hx6MBsbeKmWGyTbCzJQg_MUM09oLaOrVHd5fjJ5ZaAVz8ofCz5lJLJHZJ8JddSMmsadZzo5lO9DQY?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
27,قرية قوس غنيمة السياحية,قريهقوسغنيمهالسياحيه,Point,14.05611,32.72302,14.05611,32.72302,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5bfSLIwr73hVXMk-qAzwLo9l6CGCB8tnc27QM-1UYJBk3zBLjJmcPyBAS9h1OmbeE1QMfP0ffyxOMcobPAWXSmt8BVWQFugDdNBqvWEBA2fNdhRA0sQ7sRNeMExCrYoSQ0w_PLH3kDnju-DHJSxpn9H4gdKct6GY631iVGa22vmQi7SZqLfLCgi9xO9c4nhabqVI5QivZE0tgdT2sjMpxNkG9TTHhOUBPh6CFD9JnPOQVnZEU_U3nVHWg?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,duplicate_name,unique,recovered_parser_used,
28,قرية لؤلؤة غنيمة العائلية,قريهلولوهغنيمهالعايليه,Point,14.03409,32.72176,14.03409,32.72176,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7469zgrdRfCqNLHLydKYt1xBAkfReDY6rnMjog4pmdR-IUNMzvAw4EF6YFETaGMnUyVlJW9izmMs-Zh9dkP0q9IkL3e8SZO4xYg5Hf0lMc3Dhz2l3tgBkfHTcXs_vWvhp5YZI3kUOidaaw5g8UlULULAhDSpynGjat9eO-riPxZ24uLXYhYfk8gfgq2zz4F2HLAUMM8SdEllFtOVecHZh5SWM70uep-OQMGRMvJ1xlVUeIpOczilLasBE?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,duplicate_name,unique,recovered_parser_used,
29,قرية شمس البحر,قريهشمسالبحر,Point,14.0591948,32.7217781,14.0591948,32.7217781,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4nKO0Tig41V-TFkBrenfNY2645TOwITylKTpAq9Lh_lF_jstZ9N-cdh2e4d5Cs0JaOMM5EZBfh3-x_kTXHOg1mHl3kM7efcsOL5Qi4CxGBeA0PnLI8xpgbX1S4_A7STuZ2_7iGhzlHN42X6dS_ewK-cTb9Ku3RDmiy4JtqqCGf2vj-6oOO3H0hyW1Kt_oIFDhCLAjwGgOAq4S8mV2ADVEjCMOrvZ6nqnXHt4eicV0XBEIxaKQ3J3o2RgQ?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,duplicate_name,unique,recovered_parser_used,
30,قرية الشاطيء الذهبي,قريهالشاطيءالذهبي,Point,14.05915,32.71876,14.05915,32.71876,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5CL55yccPGrhAj50QnxZvZXgBbU6zzmgPNuviZX1aN7bu0CaikynWubGdYPXoYeLuBL-9ICZXqxZ50QJU3U6nf8b8d5C1Yw1JWJiIrKvTNrU2KSxxErsO0Dz33Lurm1RQ7Sc8EISNqNNUrTTWW0sFeB4GWtK0biHFDZEEcbcLXDaszCNRCP-XWl3kmJbc605Ae3Nd_1OccgFCxwKqvRCsTVdh4ibDCTkifpm_288mUPilDQOWrq5X1xwk?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
31,منتجع سي شيلز,منتجعسيشيلز,Point,14.1902606,32.7048271,14.1902606,32.7048271,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5ab5n9_bNQf6tcBMqEISGzUIcyVGy9d1s4Ft_1E78mS4KPlpoDUGbZJJmGQ808aQXcPi2BoY42hkhV8c3k_RSu1OSLollZb5QUihRS_Ue-PxQihsvzqjQgzCNk8eKJZAkWAdfUUcO7xYsRx2GMAxZKh9VMe_U0GZmrXfFgbxFZf7veLnwBBcs9i21D8_6nxFhNfh4StzgZaP38KxMbT8HE7H3LHOra6f_gAENVa2pGhadA4L9KElbFDlA?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
32,منتجع حوض البحر Seapool Resort,منتجعحوضالبحرseapoolresort,Point,14.0607489,32.7222509,14.0607489,32.7222509,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4meYRuY8Iq4Jyhe1dZYkdBQmtYi6um6y-fPDlx4khJeRWS4qy40OdV8ZiANChx3K0wSpZD4PPq33P1LzZr1I5C-u7pngGfswYv0qIIESiT8l5Xx7UvwsnwOiDTy0x-rKRFnVjvDYdCcm56Ijldg9yFJrt1WWRjdRUuPVzQSB_q5I0wXZPNyK8Bv_LPlkG5uxukaXiHeJKcSvaDveTpY-M9UIJieFeERu3Q5RuxvrV2JlkYTJfRnim6JdA?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
33,قرية الخمس السياحية,قريهالخمسالسياحيه,Point,14.2779222,32.6457684,14.2779222,32.6457684,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5YyTFBoc8NJ4FPBRpqQl2zFGhY0MtFZm0okOcZOyuJwnyj4a2x6kA3FEcYpehn0qZEk3uUd08kQr6rEiucdzFE050K3XV6YtA3vDD3BoHCVkAgAF9zTOTxMFy5Kr8QncPQA7ylyAvEp2dSUDl8JkRkI1-4LdKyW9iFBG8iYRkNOQJCdQbBIDgEjIRDb_HYvUoYDb6feNkrVGTZRLkQQda03481bRF_lOEn3uOlAEaGGD_bjTB0Hq-Dh2k?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
34,قريه غنيمه العائليه,قريهغنيمهالعايليه,Point,14.27806,32.64588,14.27806,32.64588,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6uPD9tntsVlThPhfv9rpc_M_sLI5oenXK1lBFMfQMTorVYazvsffqDh-nKcBDnJP2gTIsyIZZlpAQba27hJmCT1HFrKXhzjeotOFkjzEgOzg2CnqTLZmHArQdFvTW-jBZAu20EwcN-OXZ8i5F182ZYgXjkVs7Uhj_-DCDGZRUcO-S9KsYeaBkMn5mEr4iXOI4BfzzvZ2EpgWCbrnMMNVsIZxhJ-C6_SpFPvgS71iLJbp5nrUwgIyJAPbM?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
