id,name_ar,name_en,facility_type_code,municipality_ar,longitude,latitude,match_status,data_quality_status,data_completeness_percent,source_image_status
LY-ACC-RES-BEN-00006,مجمع الاصالة السياحي,العنوان/المدينة:,tourist_village,بنغازي,19.974266,31.99976,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00007,قرية الفاضل,العنوان/المدينة:,tourist_village,بنغازي,20.009364,32.032708,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00008,منتجع الأسيل,العنوان/المدينة:,tourist_village,بنغازي,19.996643,32.01888,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00009,منتجع الماسة السياحي,العنوان/المدينة:,accommodation_resort_other,بنغازي,20.137676,32.069522,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00010,منتجع قاريونس العائلي,العنوان/المدينة:,family_resort,بنغازي,20.039029,32.061734,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00011,منتجع النخلة الذهبية,العنوان/المدينة:,tourist_village,بنغازي,20.040787,32.069285,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00012,منتجع فايا لارجو,العنوان/المدينة:,tourist_village,بنغازي,20.042231,32.07227,exact_match,medium,50,no_image
LY-ACC-RES-BEN-00013,قرية قمرت السياحية,العنوان/المدينة:,tourist_village,بنغازي,20.212382,32.278478,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00030,منتجع التلال الحمامة,العنوان/المدينة:,tourist_resort,,21.615861,32.911311,exact_match,low,43,no_image
LY-ACC-RES-NAT-00031,منتجع الجراري السياحي - للعائلات,العنوان/المدينة:,family_resort,,21.604209,32.905579,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00032,منتجع ومصيف الحمامة,العنوان/المدينة:,tourist_resort,,21.621093,32.916555,exact_match,low,43,no_image
LY-ACC-RES-NAT-00033,قرية إيلاف السياحية,العنوان/المدينة:,tourist_village,,20.963816,32.719463,exact_match,low,43,temporary_google_url
LY-ACC-RES-BAY-00001,شاليهات الحدائق الملكية,العنوان/المدينة:,accommodation_resort_other,البيضاء,21.595084,32.875231,exact_match,medium,50,temporary_google_url
LY-ACC-RES-BAY-00002,منتجع وادي الكوف,العنوان/المدينة:,tourist_resort,البيضاء,21.563798,32.702,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00034,منتجع إيلاند السياحي,العنوان/المدينة:,tourist_village,,21.940156,32.895682,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00035,منتجع كنزي السياحي,العنوان/المدينة:,tourist_village,,21.972566,32.900884,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00036,منتجع سوسه,العنوان/المدينة:,tourist_village,,22.024943,32.902515,exact_match,low,43,no_image
LY-ACC-RES-NAT-00037,مصيف القريه/رأس الهلال,العنوان/المدينة:,tourist_village,,22.169169,32.901774,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00038,منتجع الينابيع السياحي,العنوان/المدينة:,tourist_village,,22.190223,32.881896,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00039,منتجع الاثرون السياحي,العنوان/المدينة:,tourist_resort,,22.279024,32.869423,exact_match,low,43,no_image
LY-ACC-RES-DER-00001,منتجع إيميليا السياحي,العنوان/المدينة:,tourist_resort,درنة,22.562236,32.798261,exact_match,medium,50,temporary_google_url
LY-ACC-RES-DER-00002,مصيف 1805,العنوان/المدينة:,tourist_resort,درنة,22.56117,32.790435,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00040,منتجع الابرق السياحي,العنوان/المدينة:,tourist_resort,,21.954304,32.825786,exact_match,low,43,temporary_google_url
LY-ACC-RES-SHA-00001,منتج شحات السياحي,العنوان/المدينة:,tourist_resort,شحات,21.879472,32.824524,exact_match,medium,50,temporary_google_url
LY-ACC-RES-SHA-00002,منتجع وموتيل الأمان 1,العنوان/المدينة:,tourist_resort,شحات,21.894591,32.801446,exact_match,medium,50,temporary_google_url
LY-ACC-RES-SHA-00003,منتجع وموتيل الأمان 3,العنوان/المدينة:,tourist_resort,شحات,21.923466,32.826342,exact_match,medium,50,temporary_google_url
LY-ACC-RES-SHA-00004,شاليهات بوعطية,العنوان/المدينة:,tourist_resort,شحات,21.897302,32.842844,exact_match,medium,50,no_image
LY-ACC-RES-SHA-00005,منتجع جود السياحي,العنوان/المدينة:,tourist_resort,شحات,21.88843,32.840597,exact_match,medium,50,no_image
LY-ACC-RES-KHO-00019,إستراحات فردية درجة أولى,العنوان/المدينة:,tourist_resort,الخمس,21.867999,32.847121,exact_match,medium,57,no_image
LY-ACC-RES-SHA-00006,إستراحات فردية,العنوان/المدينة:,tourist_resort,شحات,21.867296,32.847073,exact_match,medium,50,no_image
